,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,18351457.0,5426892.86404,2.992,0.7495,0.2505,1.1281,0.5301,0.4699,2.7051,0.7301,0.2699,,,,,,,
1,1715287200000,18339477.0,5439672.27297,2.9777,0.7486,0.2514,1.1265,0.5297,0.4703,2.7133,0.7307,0.2693,,,,,,,
2,1715287500000,18343664.0,5440914.17904,2.9432,0.7464,0.2536,1.1258,0.5296,0.4704,2.7175,0.731,0.269,,,,,,,
3,1715287800000,18346544.0,5444230.15511392,2.951,0.7469,0.2531,1.1262,0.5297,0.4703,2.7161,0.7309,0.2691,,,,,,,
4,1715288100000,18354941.0,5446225.41483933,2.9401,0.7462,0.2538,1.1272,0.5299,0.4701,2.6697,0.7275,0.2725,,,,,,,
5,1715288400000,18365441.0,5464604.46271943,2.9293,0.7455,0.2545,1.1241,0.5292,0.4708,2.6846,0.7286,0.2714,,,,,,,
6,1715288700000,18363302.0,5483479.56632952,2.9588,0.7474,0.2526,1.1249,0.5294,0.4706,2.7327,0.7321,0.2679,,,,,,,
7,1715289000000,18356150.0,5494913.5025,2.9308,0.7456,0.2544,1.122,0.5288,0.4712,2.7189,0.7311,0.2689,,,,,,,
8,1715289300000,18364419.0,5494817.80899,2.962,0.7476,0.2524,1.1199,0.5283,0.4717,2.7538,0.7336,0.2664,,,,,,,
9,1715289600000,18360227.0,5472449.25962,3.0016,0.7501,0.2499,1.1213,0.5286,0.4714,2.7965,0.7366,0.2634,,,,,,,
10,1715289900000,18301540.0,5452394.7968,3.0,0.75,0.25,1.1228,0.5289,0.4711,2.7864,0.7359,0.2641,,,,,,,
11,1715290200000,18299045.0,5446034.4115468,3.0016,0.7501,0.2499,1.1234,0.529,0.471,2.7908,0.7362,0.2638,,,,,,,
12,1715290500000,18291784.0,5441158.02792856,2.9952,0.7497,0.2503,1.1233,0.529,0.471,2.7922,0.7363,0.2637,,,,,,,
13,1715290800000,18272067.0,5435149.11744024,3.0064,0.7504,0.2496,1.1244,0.5293,0.4707,2.7936,0.7364,0.2636,,,,,,,
14,1715291100000,18274108.0,5437643.57648,2.9984,0.7499,0.2501,1.1244,0.5293,0.4707,2.7922,0.7363,0.2637,,,,,,,
15,1715291400000,18275154.0,5438470.1835828,3.0032,0.7502,0.2498,1.1244,0.5293,0.4707,2.7864,0.7359,0.2641,,,,,,,
16,1715291700000,18254338.0,5444451.2310576,2.9968,0.7498,0.2502,1.126,0.5296,0.4704,2.7636,0.7343,0.2657,,,,,,,
17,1715292000000,18263479.0,5443238.69732487,2.9698,0.7481,0.2519,1.1263,0.5297,0.4703,2.7495,0.7333,0.2667,,,,,,,
18,1715292300000,18234853.0,5442174.91943671,2.962,0.7476,0.2524,1.1271,0.5299,0.4701,2.7313,0.732,0.268,,,,,,,
19,1715292600000,18225616.0,5440164.11984,2.9557,0.7472,0.2528,1.1248,0.5294,0.4706,2.7622,0.7342,0.2658,,,,,,,
20,1715292900000,18202708.0,5444065.90864,2.9448,0.7465,0.2535,1.1257,0.5296,0.4704,2.7509,0.7334,0.2666,,,,,,,
21,1715293200000,18182034.0,5437537.08825366,2.9386,0.7461,0.2539,1.1259,0.5296,0.4704,2.7189,0.7311,0.2689,,,,,,,
22,1715293500000,18177583.0,5440484.42549788,2.9494,0.7468,0.2532,1.1246,0.5293,0.4707,2.7481,0.7332,0.2668,,,,,,,
23,1715293800000,18177315.0,5445394.6141335,2.9683,0.748,0.252,1.1249,0.5294,0.4706,2.7272,0.7317,0.2683,,,,,,,
24,1715294100000,18191301.0,5452842.47475,2.9825,0.7489,0.2511,1.123,0.529,0.471,2.7679,0.7346,0.2654,,,,,,,
25,1715294400000,18189217.0,5466181.29385656,2.9573,0.7473,0.2527,1.1247,0.5293,0.4707,2.7327,0.7321,0.2679,,,,,,,
26,1715294700000,18214707.0,5491081.70969526,3.0225,0.7514,0.2486,1.121,0.5285,0.4715,2.8023,0.737,0.263,,,,,,,
27,1715295000000,18247951.0,5520370.13652,2.9984,0.7499,0.2501,1.1195,0.5282,0.4718,2.8081,0.7374,0.2626,,,,,,,
28,1715295300000,18287062.0,5537037.82691528,3.0016,0.7501,0.2499,1.1207,0.5285,0.4715,2.8008,0.7369,0.2631,,,,,,,
29,1715295600000,18291045.0,5531760.73935,3.0112,0.7507,0.2493,1.1213,0.5286,0.4714,2.7879,0.736,0.264,,,,,,,
30,1715295900000,18260170.0,5508825.0471027,3.0032,0.7502,0.2498,1.1217,0.5287,0.4713,2.7893,0.7361,0.2639,,,,,,,
31,1715296200000,18271171.0,5508575.34479,2.9651,0.7478,0.2522,1.1238,0.5291,0.4709,2.7341,0.7322,0.2678,,,,,,,
32,1715296500000,18242252.0,5493289.34476,2.9872,0.7492,0.2508,1.1246,0.5293,0.4707,2.7793,0.7354,0.2646,,,,,,,
33,1715296800000,18225701.0,5478599.42731946,2.9809,0.7488,0.2512,1.126,0.5296,0.4704,2.7552,0.7337,0.2663,,,,,,,
34,1715297100000,18229575.0,5470909.29041475,3.0,0.75,0.25,1.1261,0.5297,0.4703,2.7936,0.7364,0.2636,,,,,,,
35,1715297400000,18302140.0,5490176.3935584,3.0128,0.7508,0.2492,1.1223,0.5288,0.4712,2.858,0.7408,0.2592,,,,,,,
36,1715297700000,18330494.0,5489443.85317146,3.0112,0.7507,0.2493,1.1209,0.5285,0.4715,2.8417,0.7397,0.2603,,,,,,,
37,1715298000000,18369573.0,5491019.35137171,3.0145,0.7509,0.2491,1.1192,0.5281,0.4719,2.867,0.7414,0.2586,,,,,,,
38,1715298300000,18398371.0,5495777.40141,3.0193,0.7512,0.2488,1.1195,0.5282,0.4718,2.9047,0.7439,0.2561,,,,,,,
39,1715298600000,18408846.0,5514696.76040496,3.0112,0.7507,0.2493,1.1193,0.5281,0.4719,2.9093,0.7442,0.2558,,,,,,,
40,1715298900000,18406309.0,5512580.9482769,3.0064,0.7504,0.2496,1.1192,0.5281,0.4719,2.8911,0.743,0.257,,,,,,,
41,1715299200000,18407975.0,5506929.801,3.0258,0.7516,0.2484,1.1222,0.5288,0.4712,2.861,0.741,0.259,,,,,,,
42,1715299500000,18402038.0,5481234.7190876,3.07,0.7543,0.2457,1.1228,0.5289,0.4711,2.8986,0.7435,0.2565,,,,,,,
43,1715299800000,18393016.0,5484168.51398296,3.0601,0.7537,0.2463,1.1228,0.5289,0.4711,2.8805,0.7423,0.2577,,,,,,,
44,1715300100000,18410146.0,5497832.57786468,3.0519,0.7532,0.2468,1.1222,0.5288,0.4712,2.8655,0.7413,0.2587,,,,,,,
45,1715300400000,18389719.0,5489882.81307,3.042,0.7526,0.2474,1.1238,0.5292,0.4708,2.8476,0.7401,0.2599,,,,,,,
46,1715300700000,18373651.0,5480179.34953045,3.0453,0.7528,0.2472,1.124,0.5292,0.4708,2.8506,0.7403,0.2597,,,,,,,
47,1715301000000,18379596.0,5475833.03628,3.0584,0.7536,0.2464,1.1232,0.529,0.471,2.861,0.741,0.259,,,,,,,
48,1715301300000,18379531.0,5490517.29563,3.0733,0.7545,0.2455,1.1225,0.5289,0.4711,2.9017,0.7437,0.2563,,,,,,,
49,1715301600000,18387790.0,5490542.608188,3.0617,0.7538,0.2462,1.122,0.5287,0.4713,2.885,0.7426,0.2574,,,,,,,
50,1715301900000,18387528.0,5496583.74504,3.0469,0.7529,0.2471,1.1249,0.5294,0.4706,2.8314,0.739,0.261,,,,,,,
51,1715302200000,18367520.0,5489561.4988912,3.042,0.7526,0.2474,1.1227,0.5289,0.4711,2.827,0.7387,0.2613,,,,,,,
52,1715302500000,18327139.0,5482197.08907,3.0469,0.7529,0.2471,1.1231,0.529,0.471,2.8226,0.7384,0.2616,,,,,,,
53,1715302800000,18322010.0,5483220.603896,3.0519,0.7532,0.2468,1.1229,0.5289,0.4711,2.8402,0.7396,0.2604,,,,,,,
54,1715303100000,18316213.0,5495779.71065,3.0404,0.7525,0.2475,1.1252,0.5294,0.4706,2.8008,0.7369,0.2631,,,,,,,
55,1715303400000,18365927.0,5500595.1365,3.0683,0.7542,0.2458,1.1236,0.5291,0.4709,2.8256,0.7386,0.2614,,,,,,,
56,1715303700000,18366217.0,5493886.49121,3.095,0.7558,0.2442,1.1243,0.5293,0.4707,2.858,0.7408,0.2592,,,,,,,
57,1715304000000,18362572.0,5498304.93396,3.0917,0.7556,0.2444,1.1255,0.5295,0.4705,2.8417,0.7397,0.2603,,,,,,,
58,1715304300000,18366642.0,5507239.99136346,3.1017,0.7562,0.2438,1.1264,0.5297,0.4703,2.8551,0.7406,0.2594,,,,,,,
59,1715304600000,18358787.0,5511987.49969474,3.0866,0.7553,0.2447,1.1256,0.5295,0.4705,2.8775,0.7421,0.2579,,,,,,,
60,1715304900000,18374787.0,5531189.04011646,3.085,0.7552,0.2448,1.1256,0.5295,0.4705,2.8685,0.7415,0.2585,,,,,,,
61,1715305200000,18373085.0,5529418.5142285,3.1051,0.7564,0.2436,1.1275,0.53,0.47,2.876,0.742,0.258,,,,,,,
62,1715305500000,18379435.0,5519895.71355,3.0667,0.7541,0.2459,1.1283,0.5301,0.4699,2.8052,0.7372,0.2628,,,,,,,
63,1715305800000,18390647.0,5531170.99172,3.0568,0.7535,0.2465,1.1271,0.5299,0.4701,2.8124,0.7377,0.2623,,,,,,,
64,1715306100000,18403143.0,5538847.68588756,3.0469,0.7529,0.2471,1.145,0.5338,0.4662,2.8314,0.739,0.261,,,,,,,
65,1715306400000,18398025.0,5535800.32425525,3.0502,0.7531,0.2469,1.1459,0.534,0.466,2.8168,0.738,0.262,,,,,,,
66,1715306700000,18385225.0,5527655.96928975,3.0323,0.752,0.248,1.1463,0.5341,0.4659,2.7764,0.7352,0.2648,,,,,,,
67,1715307000000,18396044.0,5532913.95168644,3.0306,0.7519,0.2481,1.148,0.5345,0.4655,2.7538,0.7336,0.2664,,,,,,,
68,1715307300000,18387096.0,5534699.76696,3.0241,0.7515,0.2485,1.1477,0.5344,0.4656,2.7552,0.7337,0.2663,,,,,,,
69,1715307600000,18385527.0,5540806.92696222,3.0783,0.7548,0.2452,1.1479,0.5344,0.4656,2.7679,0.7346,0.2654,,,,,,,
70,1715307900000,18378543.0,5535335.04096495,3.0866,0.7553,0.2447,1.1474,0.5343,0.4657,2.7807,0.7355,0.2645,,,,,,,
71,1715308200000,18376145.0,5530900.2675999,3.0967,0.7559,0.2441,1.1475,0.5343,0.4657,2.7836,0.7357,0.2643,,,,,,,
72,1715308500000,18378594.0,5533978.43934,3.1085,0.7566,0.2434,1.1474,0.5343,0.4657,2.7793,0.7354,0.2646,,,,,,,
73,1715308800000,18383573.0,5527572.72964,3.1,0.7561,0.2439,1.1467,0.5342,0.4658,2.7807,0.7355,0.2645,,,,,,,
74,1715309100000,18388129.0,5528641.43016698,3.1152,0.757,0.243,1.1477,0.5344,0.4656,2.7879,0.736,0.264,,,,,,,
75,1715309400000,18393395.0,5524272.2543,3.1152,0.757,0.243,1.147,0.5342,0.4658,2.7893,0.7361,0.2639,,,,,,,
76,1715309700000,18382031.0,5514241.65938,3.122,0.7574,0.2426,1.1456,0.5339,0.4661,2.8153,0.7379,0.2621,,,,,,,
77,1715310000000,18381247.0,5522203.04072224,3.1322,0.758,0.242,1.1469,0.5342,0.4658,2.811,0.7376,0.2624,,,,,,,
78,1715310300000,18376621.0,5513537.59863,3.1254,0.7576,0.2424,1.1473,0.5343,0.4657,2.8226,0.7384,0.2616,,,,,,,
79,1715310600000,18360050.0,5509483.804,3.1339,0.7581,0.2419,1.1485,0.5346,0.4654,2.8139,0.7378,0.2622,,,,,,,
80,1715310900000,18329220.0,5493071.4779304,3.1288,0.7578,0.2422,1.1484,0.5345,0.4655,2.8447,0.7399,0.2601,,,,,,,
81,1715311200000,18326758.0,5499127.00548,3.1339,0.7581,0.2419,1.1492,0.5347,0.4653,2.8212,0.7383,0.2617,,,,,,,
82,1715311500000,18334707.0,5501145.48828,3.1563,0.7594,0.2406,1.1498,0.5348,0.4652,2.8358,0.7393,0.2607,,,,,,,
83,1715311800000,18334656.0,5502400.22786112,3.1528,0.7592,0.2408,1.1508,0.5351,0.4649,2.8139,0.7378,0.2622,,,,,,,
84,1715312100000,18353409.0,5505839.16591,3.1719,0.7603,0.2397,1.1491,0.5347,0.4653,2.8197,0.7382,0.2618,,,,,,,
85,1715312400000,18377236.0,5523025.40903264,3.1911,0.7614,0.2386,1.1482,0.5345,0.4655,2.8595,0.7409,0.2591,,,,,,,
86,1715312700000,18396532.0,5522427.53024732,3.2194,0.763,0.237,1.1481,0.5345,0.4655,2.8805,0.7423,0.2577,,,,,,,
87,1715313000000,18389161.0,5518403.32449,3.2194,0.763,0.237,1.148,0.5345,0.4655,2.888,0.7428,0.2572,,,,,,,
88,1715313300000,18388412.0,5528108.29956,3.2159,0.7628,0.2372,1.1482,0.5345,0.4655,2.8805,0.7423,0.2577,,,,,,,
89,1715313600000,18391946.0,5524296.30853162,3.2248,0.7633,0.2367,1.1475,0.5343,0.4657,2.9047,0.7439,0.2561,,,,,,,
90,1715313900000,18390501.0,5530023.6507,3.2159,0.7628,0.2372,1.1481,0.5345,0.4655,2.879,0.7422,0.2578,,,,,,,
91,1715314200000,18412344.0,5526096.80472,3.1911,0.7614,0.2386,1.1472,0.5343,0.4657,2.8865,0.7427,0.2573,,,,,,,
92,1715314500000,18410214.0,5527114.44708,3.2052,0.7622,0.2378,1.1479,0.5344,0.4656,2.8865,0.7427,0.2573,,,,,,,
93,1715314800000,18424528.0,5533460.41942832,3.1911,0.7614,0.2386,1.1481,0.5345,0.4655,2.888,0.7428,0.2572,,,,,,,
94,1715315100000,18433089.0,5536009.61937,3.1982,0.7618,0.2382,1.1477,0.5344,0.4656,2.8986,0.7435,0.2565,,,,,,,
95,1715315400000,18437752.0,5544785.15896,3.1911,0.7614,0.2386,1.1476,0.5344,0.4656,2.8895,0.7429,0.2571,,,,,,,
96,1715315700000,18444058.0,5546383.32192214,3.1946,0.7616,0.2384,1.1474,0.5343,0.4657,2.879,0.7422,0.2578,,,,,,,
97,1715316000000,18456920.0,5553573.5333728,3.223,0.7632,0.2368,1.1468,0.5342,0.4658,2.9078,0.7441,0.2559,,,,,,,
98,1715316300000,18471626.0,5542041.94878,3.2034,0.7621,0.2379,1.1464,0.5341,0.4659,2.8911,0.743,0.257,,,,,,,
99,1715316600000,18465511.0,5545307.99343353,3.2123,0.7626,0.2374,1.1462,0.5341,0.4659,2.9063,0.744,0.256,,,,,,,
100,1715316900000,18462725.0,5547310.3535,3.2141,0.7627,0.2373,1.1455,0.5339,0.4661,2.8911,0.743,0.257,,,,,,,
101,1715317200000,18464146.0,5549953.00468,3.2662,0.7656,0.2344,1.1461,0.534,0.466,2.9185,0.7448,0.2552,,,,,,,
102,1715317500000,18461997.0,5556137.99715,3.2662,0.7656,0.2344,1.1441,0.5336,0.4664,2.9093,0.7442,0.2558,,,,,,,
103,1715317800000,18505993.0,5560125.59685,3.2699,0.7658,0.2342,1.1433,0.5334,0.4666,2.9154,0.7446,0.2554,,,,,,,
104,1715318100000,18515106.0,5548892.46901452,3.2463,0.7645,0.2355,1.1425,0.5333,0.4667,2.8971,0.7434,0.2566,,,,,,,
105,1715318400000,18509767.0,5546132.57316692,3.2499,0.7647,0.2353,1.1412,0.533,0.467,2.8715,0.7417,0.2583,,,,,,,
106,1715318700000,18523562.0,5548038.73399624,3.2644,0.7655,0.2345,1.1405,0.5328,0.4672,2.885,0.7426,0.2574,,,,,,,
107,1715319000000,18540007.0,5552192.39689623,3.2553,0.765,0.235,1.1386,0.5324,0.4676,2.9047,0.7439,0.2561,,,,,,,
108,1715319300000,18526366.0,5566617.19202,3.0306,0.7519,0.2481,1.1391,0.5325,0.4675,2.7439,0.7329,0.2671,,,,,,,
109,1715319600000,18535250.0,5578368.84,3.0274,0.7517,0.2483,1.1386,0.5324,0.4676,2.7397,0.7326,0.2674,,,,,,,
110,1715319900000,18554304.0,5583368.95248768,3.0032,0.7502,0.2498,1.1363,0.5319,0.4681,2.7313,0.732,0.268,,,,,,,
111,1715320200000,18554758.0,5586480.08361334,3.0177,0.7511,0.2489,1.1355,0.5317,0.4683,2.7411,0.7327,0.2673,,,,,,,
112,1715320500000,18591945.0,5603917.5027369,3.2283,0.7635,0.2365,1.1354,0.5317,0.4683,2.873,0.7418,0.2582,,,,,,,
113,1715320800000,18597850.0,5601375.598314,3.2662,0.7656,0.2344,1.1319,0.5309,0.4691,2.9479,0.7467,0.2533,,,,,,,
114,1715321100000,18629312.0,5618839.8858592,3.2571,0.7651,0.2349,1.1311,0.5308,0.4692,2.9635,0.7477,0.2523,,,,,,,
115,1715321400000,18636670.0,5620727.6068502,3.2463,0.7645,0.2355,1.1301,0.5305,0.4695,2.9793,0.7487,0.2513,,,,,,,
116,1715321700000,18628541.0,5629750.004151,3.2445,0.7644,0.2356,1.1309,0.5307,0.4693,2.9479,0.7467,0.2533,,,,,,,
117,1715322000000,18619313.0,5631315.69977431,3.2517,0.7648,0.2352,1.1295,0.5304,0.4696,2.9557,0.7472,0.2528,,,,,,,
118,1715322300000,18627444.0,5629259.40031224,3.2373,0.764,0.236,1.1285,0.5302,0.4698,2.9541,0.7471,0.2529,,,,,,,
119,1715322600000,18638594.0,5628781.57916776,3.2301,0.7636,0.2364,1.1288,0.5303,0.4697,2.9277,0.7454,0.2546,,,,,,,
120,1715322900000,18644149.0,5638922.86505,3.2535,0.7649,0.2351,1.1285,0.5302,0.4698,2.9448,0.7465,0.2535,,,,,,,
121,1715323200000,18662156.0,5658179.07764,3.2517,0.7648,0.2352,1.1263,0.5297,0.4703,2.9761,0.7485,0.2515,,,,,,,
122,1715323500000,18681098.0,5663912.20163806,3.2105,0.7625,0.2375,1.1281,0.5301,0.4699,2.8986,0.7435,0.2565,,,,,,,
123,1715323800000,18687934.0,5679369.47694446,3.2123,0.7626,0.2374,1.1266,0.5298,0.4702,2.9002,0.7436,0.2564,,,,,,,
124,1715324100000,18682781.0,5691896.05946,3.2017,0.762,0.238,1.1287,0.5302,0.4698,2.8476,0.7401,0.2599,,,,,,,
125,1715324400000,18669609.0,5686202.81313,3.1563,0.7594,0.2406,1.1292,0.5303,0.4697,2.8329,0.7391,0.2609,,,,,,,
126,1715324700000,18735574.0,5728214.39476,3.2481,0.7646,0.2354,1.1245,0.5293,0.4707,3.0161,0.751,0.249,,,,,,,
127,1715325000000,18749108.0,5693729.11744,3.2753,0.7661,0.2339,1.122,0.5287,0.4713,3.0371,0.7523,0.2477,,,,,,,
128,1715325300000,18720742.0,5680687.28786958,3.2194,0.763,0.237,1.1243,0.5293,0.4707,2.9635,0.7477,0.2523,,,,,,,
129,1715325600000,18720845.0,5702082.77086305,3.2194,0.763,0.237,1.1244,0.5293,0.4707,2.9557,0.7472,0.2528,,,,,,,
130,1715325900000,18709611.0,5694758.4286971,3.2141,0.7627,0.2373,1.1229,0.529,0.471,2.9667,0.7479,0.2521,,,,,,,
131,1715326200000,18702767.0,5694618.49616,3.2535,0.7649,0.2351,1.1237,0.5291,0.4709,2.9872,0.7492,0.2508,,,,,,,
132,1715326500000,18718474.0,5693538.52464794,3.2553,0.765,0.235,1.1234,0.5291,0.4709,2.9857,0.7491,0.2509,,,,,,,
133,1715326800000,18718456.0,5700144.22112,3.2463,0.7645,0.2355,1.1231,0.529,0.471,2.9809,0.7488,0.2512,,,,,,,
134,1715327100000,18730412.0,5704908.88696,3.2717,0.7659,0.2341,1.1232,0.529,0.471,3.0177,0.7511,0.2489,,,,,,,
135,1715327400000,18720975.0,5680176.14229975,3.29,0.7669,0.2331,1.1235,0.5291,0.4709,3.0339,0.7521,0.2479,,,,,,,
136,1715327700000,18714058.0,5671701.18481802,3.2955,0.7672,0.2328,1.123,0.529,0.471,3.0404,0.7525,0.2475,,,,,,,
137,1715328000000,18719599.0,5670592.40797725,3.3403,0.7696,0.2304,1.1221,0.5288,0.4712,3.0717,0.7544,0.2456,,,,,,,
138,1715328300000,18720966.0,5672265.48834,3.3384,0.7695,0.2305,1.1209,0.5285,0.4715,3.0833,0.7551,0.2449,,,,,,,
139,1715328600000,18744879.0,5674919.14265016,3.3346,0.7693,0.2307,1.1202,0.5284,0.4716,3.09,0.7555,0.2445,,,,,,,
140,1715328900000,18726526.0,5650628.0972596,3.3592,0.7706,0.2294,1.1204,0.5284,0.4716,3.09,0.7555,0.2445,,,,,,,
141,1715329200000,18711561.0,5651325.71733081,3.3403,0.7696,0.2304,1.1206,0.5284,0.4716,3.0584,0.7536,0.2464,,,,,,,
142,1715329500000,18727123.0,5647163.94065,3.3403,0.7696,0.2304,1.1206,0.5284,0.4716,3.0617,0.7538,0.2462,,,,,,,
143,1715329800000,18717158.0,5640789.90646,3.2863,0.7667,0.2333,1.1225,0.5289,0.4711,3.008,0.7505,0.2495,,,,,,,
144,1715330100000,18746119.0,5650942.40061281,3.3141,0.7682,0.2318,1.1234,0.5291,0.4709,3.0274,0.7517,0.2483,,,,,,,
145,1715330400000,18742904.0,5647099.58971368,3.3271,0.7689,0.2311,1.1218,0.5287,0.4713,3.0552,0.7534,0.2466,,,,,,,
146,1715330700000,18735524.0,5633584.71156,3.3215,0.7686,0.2314,1.1225,0.5288,0.4712,3.0453,0.7528,0.2472,,,,,,,
147,1715331000000,18722885.0,5627350.3156,3.329,0.769,0.231,1.1222,0.5288,0.4712,3.029,0.7518,0.2482,,,,,,,
148,1715331300000,18690333.0,5622815.29269639,3.3384,0.7695,0.2305,1.1218,0.5287,0.4713,3.042,0.7526,0.2474,,,,,,,
149,1715331600000,18684082.0,5625777.0902,3.3898,0.7722,0.2278,1.1217,0.5287,0.4713,3.085,0.7552,0.2448,,,,,,,
150,1715331900000,18629072.0,5597663.55456,3.5413,0.7798,0.2202,1.1217,0.5287,0.4713,3.1667,0.76,0.24,,,,,,,
151,1715332200000,18481160.0,5547304.9856,3.5517,0.7803,0.2197,1.1243,0.5292,0.4708,3.1545,0.7593,0.2407,,,,,,,
152,1715332500000,18466318.0,5548205.2431,3.5475,0.7801,0.2199,1.1258,0.5296,0.4704,3.1425,0.7586,0.2414,,,,,,,
153,1715332800000,18436848.0,5538429.1392,3.5475,0.7801,0.2199,1.1262,0.5297,0.4703,3.1684,0.7601,0.2399,,,,,,,
154,1715333100000,18393484.0,5520528.32034,3.5413,0.7798,0.2202,1.1279,0.5301,0.4699,3.1597,0.7596,0.2404,,,,,,,
155,1715333400000,18414799.0,5515784.74447,3.4863,0.7771,0.2229,1.1293,0.5304,0.4696,3.1051,0.7564,0.2436,,,,,,,
156,1715333700000,18363369.0,5512171.0358049,3.4964,0.7776,0.2224,1.1294,0.5304,0.4696,3.1288,0.7578,0.2422,,,,,,,
157,1715334000000,18338724.0,5506445.7860292,3.5126,0.7784,0.2216,1.1288,0.5303,0.4697,3.158,0.7595,0.2405,,,,,,,
158,1715334300000,18333646.0,5512663.89770698,3.5579,0.7806,0.2194,1.1286,0.5302,0.4698,3.1859,0.7611,0.2389,,,,,,,
159,1715334600000,18332048.0,5498800.4570688,3.5537,0.7804,0.2196,1.1291,0.5303,0.4697,3.1876,0.7612,0.2388,,,,,,,
160,1715334900000,18341785.0,5500270.6563882,3.5413,0.7798,0.2202,1.1295,0.5304,0.4696,3.1684,0.7601,0.2399,,,,,,,
161,1715335200000,18345602.0,5504732.90373072,3.5537,0.7804,0.2196,1.1297,0.5304,0.4696,3.1632,0.7598,0.2402,,,,,,,
162,1715335500000,18353032.0,5504441.35744,3.529,0.7792,0.2208,1.131,0.5307,0.4693,3.1511,0.7591,0.2409,,,,,,,
163,1715335800000,18372712.0,5513884.93955088,3.5372,0.7796,0.2204,1.1301,0.5305,0.4695,3.1356,0.7582,0.2418,,,,,,,
164,1715336100000,18338255.0,5508309.333813,3.5496,0.7802,0.2198,1.1309,0.5307,0.4693,3.1667,0.76,0.24,,,,,,,
165,1715336400000,18332180.0,5502355.7966884,3.5914,0.7822,0.2178,1.132,0.531,0.469,3.1806,0.7608,0.2392,,,,,,,
166,1715336700000,18318269.0,5502438.16174889,3.6083,0.783,0.217,1.1327,0.5311,0.4689,3.1964,0.7617,0.2383,,,,,,,
167,1715337000000,18303388.0,5505476.07652,3.5977,0.7825,0.2175,1.1341,0.5314,0.4686,3.1771,0.7606,0.2394,,,,,,,
168,1715337300000,18302690.0,5496928.1516436,3.5809,0.7817,0.2183,1.1337,0.5313,0.4687,3.1771,0.7606,0.2394,,,,,,,
169,1715337600000,18320574.0,5510311.46939598,3.5935,0.7823,0.2177,1.1326,0.5311,0.4689,3.207,0.7623,0.2377,,,,,,,
170,1715337900000,18318615.0,5504926.99365,3.6189,0.7835,0.2165,1.1323,0.531,0.469,3.2194,0.763,0.237,,,,,,,
171,1715338200000,18310707.0,5498605.33563978,3.6168,0.7834,0.2166,1.1323,0.531,0.469,3.207,0.7623,0.2377,,,,,,,
172,1715338500000,18306307.0,5497871.30599234,3.6296,0.784,0.216,1.1315,0.5308,0.4692,3.2337,0.7638,0.2362,,,,,,,
173,1715338800000,18293789.0,5491166.51733418,3.5914,0.7822,0.2178,1.132,0.531,0.469,3.1929,0.7615,0.2385,,,,,,,
174,1715339100000,18313380.0,5497397.2138212,3.5662,0.781,0.219,1.1313,0.5308,0.4692,3.1876,0.7612,0.2388,,,,,,,
175,1715339400000,18336595.0,5501292.0557745,3.5725,0.7813,0.2187,1.1304,0.5306,0.4694,3.1876,0.7612,0.2388,,,,,,,
176,1715339700000,18332001.0,5491415.0615535,3.5683,0.7811,0.2189,1.1297,0.5304,0.4696,3.1701,0.7602,0.2398,,,,,,,
177,1715340000000,18308448.0,5486224.57648128,3.5558,0.7805,0.2195,1.1293,0.5304,0.4696,3.1305,0.7579,0.2421,,,,,,,
178,1715340300000,18317230.0,5501580.0305,3.5725,0.7813,0.2187,1.1286,0.5302,0.4698,3.1511,0.7591,0.2409,,,,,,,
179,1715340600000,18330208.0,5495229.92011136,3.583,0.7818,0.2182,1.129,0.5303,0.4697,3.1736,0.7604,0.2396,,,,,,,
180,1715340900000,18337581.0,5485141.44636363,3.5788,0.7816,0.2184,1.1283,0.5301,0.4699,3.1824,0.7609,0.2391,,,,,,,
181,1715341200000,18337009.0,5489795.36677024,3.5746,0.7814,0.2186,1.1284,0.5302,0.4698,3.1632,0.7598,0.2402,,,,,,,
182,1715341500000,18342356.0,5496626.67583312,3.5788,0.7816,0.2184,1.1288,0.5302,0.4698,3.1736,0.7604,0.2396,,,,,,,
183,1715341800000,18350871.0,5509916.54895528,3.583,0.7818,0.2182,1.1288,0.5302,0.4698,3.1841,0.761,0.239,,,,,,,
184,1715342100000,18360590.0,5518253.1081861,3.5977,0.7825,0.2175,1.129,0.5303,0.4697,3.1946,0.7616,0.2384,,,,,,,
185,1715342400000,18369434.0,5528291.63287738,3.6382,0.7844,0.2156,1.13,0.5305,0.4695,3.2088,0.7624,0.2376,,,,,,,
186,1715342700000,18398576.0,5541504.27056352,3.6019,0.7827,0.2173,1.1314,0.5308,0.4692,3.1374,0.7583,0.2417,,,,,,,
187,1715343000000,18408871.0,5530547.6603364,3.5767,0.7815,0.2185,1.1325,0.5311,0.4689,3.1305,0.7579,0.2421,,,,,,,
188,1715343300000,18413859.0,5536679.12412,3.5872,0.782,0.218,1.1325,0.5311,0.4689,3.1254,0.7576,0.2424,,,,,,,
189,1715343600000,18417655.0,5529706.7916663,3.5893,0.7821,0.2179,1.1322,0.531,0.469,3.1051,0.7564,0.2436,,,,,,,
190,1715343900000,18420381.0,5529342.84017787,3.5956,0.7824,0.2176,1.1322,0.531,0.469,3.1563,0.7594,0.2406,,,,,,,
