timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,basisRate,futuresPrice,basis
1715287200000,1168447542.00000000,28351888.85866236,1.2624,0.5580,0.4420,1.3585,0.5760,0.4240,1.6205,0.6184,0.3816,-0.0008,0.0242520,-0.00001842
1715287500000,1168112535.00000000,28312711.62333000,1.2502,0.5556,0.4444,1.3574,0.5758,0.4242,1.6082,0.6166,0.3834,-0.0004,0.0242390,-0.00000947
1715287800000,1181297147.00000000,28631287.95938252,1.2553,0.5566,0.4434,1.3582,0.5760,0.4240,1.6151,0.6176,0.3824,-0.0002,0.0242320,-0.00000571
1715288100000,1180901525.00000000,28619703.48209175,1.2462,0.5548,0.4452,1.3650,0.5772,0.4228,1.6055,0.6162,0.3838,-0.0005,0.0242330,-0.00001243
1715288400000,1180160168.00000000,28680818.87961664,1.2492,0.5554,0.4446,1.3644,0.5771,0.4229,1.6076,0.6165,0.3835,-0.0006,0.0242900,-0.00001500
1715288700000,1177413251.00000000,28817978.18510317,1.2477,0.5551,0.4449,1.3616,0.5766,0.4234,1.6082,0.6166,0.3834,-0.0002,0.0244690,-0.00000578
1715289000000,1172114896.00000000,28860434.19020688,1.2507,0.5557,0.4443,1.3608,0.5764,0.4236,1.6137,0.6174,0.3826,-0.0003,0.0246160,-0.00000732
1715289300000,1170153939.00000000,28725758.00232930,1.2376,0.5531,0.4469,1.3650,0.5772,0.4228,1.6096,0.6168,0.3832,-0.0012,0.0245380,-0.00002871
1715289600000,1170788308.00000000,28675204.81296376,1.2346,0.5525,0.4475,1.3696,0.5780,0.4220,1.6021,0.6157,0.3843,0.0000,0.0244920,0.00000051
1715289900000,1172364945.00000000,28717513.10280465,1.2311,0.5518,0.4482,1.3678,0.5777,0.4223,1.5913,0.6141,0.3859,-0.0004,0.0244920,-0.00001077
1715290200000,1172544733.00000000,28651130.55085500,1.2351,0.5526,0.4474,1.3651,0.5772,0.4228,1.6001,0.6154,0.3846,-0.0009,0.0244240,-0.00002089
1715290500000,1172300547.00000000,28575998.13367200,1.2467,0.5549,0.4451,1.3678,0.5777,0.4223,1.6055,0.6162,0.3838,-0.0002,0.0243770,-0.00000421
1715290800000,1171580035.00000000,28495169.61127000,1.2462,0.5548,0.4452,1.3675,0.5776,0.4224,1.6048,0.6161,0.3839,-0.0002,0.0243220,-0.00000442
1715291100000,1166766168.00000000,28511191.42254144,1.2427,0.5541,0.4459,1.3633,0.5769,0.4231,1.6015,0.6156,0.3844,-0.0004,0.0244390,-0.00000923
1715291400000,1166034219.00000000,28549811.47647426,1.2222,0.5500,0.4500,1.3460,0.5737,0.4263,1.5667,0.6104,0.3896,0.0000,0.0244890,0.00000062
1715291700000,1162083618.00000000,28654681.09431636,1.2252,0.5506,0.4494,1.3451,0.5736,0.4264,1.5773,0.6120,0.3880,0.0008,0.0246780,0.00002063
1715292000000,1159171652.00000000,28493134.70915120,1.2114,0.5478,0.4522,1.3479,0.5741,0.4259,1.5714,0.6111,0.3889,-0.0009,0.0245790,-0.00002202
1715292300000,1159027175.00000000,28478665.34181650,1.2178,0.5491,0.4509,1.3490,0.5743,0.4257,1.5773,0.6120,0.3880,-0.0007,0.0245570,-0.00001675
1715292600000,1160006347.00000000,28571292.72845063,1.2212,0.5498,0.4502,1.3473,0.5740,0.4260,1.5806,0.6125,0.3875,-0.0004,0.0246270,-0.00000990
1715292900000,1159884159.00000000,28616661.97084800,1.2217,0.5499,0.4501,1.3430,0.5732,0.4268,1.5947,0.6146,0.3854,-0.0002,0.0246700,-0.00000480
1715293200000,1159723559.00000000,28548914.85190300,1.2237,0.5503,0.4497,1.3453,0.5736,0.4264,1.5934,0.6144,0.3856,-0.0005,0.0246200,-0.00001320
1715293500000,1160094882.00000000,28589389.87295682,1.2247,0.5505,0.4495,1.3441,0.5734,0.4266,1.5940,0.6145,0.3855,-0.0006,0.0246330,-0.00001484
1715293800000,1162538351.00000000,28696259.41145314,1.2237,0.5503,0.4497,1.3443,0.5734,0.4266,1.5907,0.6140,0.3860,-0.0004,0.0246820,-0.00000975
1715294100000,1163028775.00000000,28640246.51077675,1.2227,0.5501,0.4499,1.3420,0.5730,0.4270,1.5940,0.6145,0.3855,-0.0006,0.0246150,-0.00001600
1715294400000,1162819594.00000000,28791703.85233850,1.2311,0.5518,0.4482,1.3403,0.5727,0.4273,1.6008,0.6155,0.3845,-0.0003,0.0247580,-0.00000776
1715294700000,1159678309.00000000,28808380.64868530,1.2336,0.5523,0.4477,1.3414,0.5729,0.4271,1.6021,0.6157,0.3843,-0.0007,0.0248280,-0.00001719
1715295000000,1158989318.00000000,28914210.52781404,1.2396,0.5535,0.4465,1.3407,0.5728,0.4272,1.6254,0.6191,0.3809,-0.0007,0.0249390,-0.00001632
1715295300000,1156733836.00000000,28876506.83715188,1.2356,0.5527,0.4473,1.3395,0.5726,0.4274,1.6164,0.6178,0.3822,-0.0007,0.0249580,-0.00001846
1715295600000,1154332225.00000000,28748043.81086800,1.2462,0.5548,0.4452,1.3403,0.5727,0.4273,1.6288,0.6196,0.3804,-0.0008,0.0248950,-0.00001925
1715295900000,1156524633.00000000,28621671.61748400,1.2624,0.5580,0.4420,1.3442,0.5734,0.4266,1.6525,0.6230,0.3770,-0.0003,0.0247490,-0.00000767
1715296200000,1158434884.00000000,28580905.45804800,1.2717,0.5598,0.4402,1.3451,0.5736,0.4264,1.6490,0.6225,0.3775,-0.0005,0.0246720,-0.00001266
1715296500000,1158400571.00000000,28523598.44388146,1.2686,0.5592,0.4408,1.3393,0.5725,0.4275,1.6560,0.6235,0.3765,-0.0005,0.0246260,-0.00001307
1715296800000,1162057173.00000000,28565689.42668600,1.2712,0.5597,0.4403,1.3400,0.5727,0.4273,1.6603,0.6241,0.3759,-0.0001,0.0245800,-0.00000324
1715297100000,1164817948.00000000,28512460.32386192,1.2712,0.5597,0.4403,1.3368,0.5721,0.4279,1.6567,0.6236,0.3764,-0.0005,0.0244790,-0.00001143
1715297400000,1163561168.00000000,28695396.45686560,1.2717,0.5598,0.4402,1.3393,0.5725,0.4275,1.6546,0.6233,0.3767,-0.0009,0.0246480,-0.00002308
1715297700000,1159803406.00000000,28622370.72744784,1.2447,0.5545,0.4455,1.3375,0.5722,0.4278,1.6103,0.6169,0.3831,-0.0012,0.0246660,-0.00003014
1715298000000,1157919270.00000000,28457023.97952000,1.2497,0.5555,0.4445,1.3333,0.5714,0.4286,1.6199,0.6183,0.3817,-0.0006,0.0245750,-0.00001366
1715298300000,1157285478.00000000,28369696.20769200,1.2578,0.5571,0.4429,1.3308,0.5710,0.4290,1.6357,0.6206,0.3794,-0.0004,0.0245170,-0.00000883
1715298600000,1158182024.00000000,28497265.59146408,1.2732,0.5601,0.4399,1.3302,0.5708,0.4292,1.6497,0.6226,0.3774,-0.0005,0.0245990,-0.00001257
1715298900000,1160144362.00000000,28483864.37582400,1.2650,0.5585,0.4415,1.3278,0.5704,0.4296,1.6532,0.6231,0.3769,-0.0005,0.0245530,-0.00001277
1715299200000,1158795337.00000000,28406708.89121800,1.2635,0.5582,0.4418,1.3290,0.5706,0.4294,1.6399,0.6212,0.3788,-0.0006,0.0245130,-0.00001409
1715299500000,1157499496.00000000,28287053.70821272,1.2753,0.5605,0.4395,1.3296,0.5707,0.4293,1.6603,0.6241,0.3759,-0.0011,0.0244320,-0.00002720
1715299800000,1154474280.00000000,28206969.91992720,1.2800,0.5614,0.4386,1.3246,0.5698,0.4302,1.6617,0.6243,0.3757,-0.0009,0.0244250,-0.00002274
1715300100000,1150721176.00000000,28167352.94612800,1.2805,0.5615,0.4385,1.3246,0.5698,0.4302,1.6617,0.6243,0.3757,0.0000,0.0244930,-0.00000037
1715300400000,1150009943.00000000,28108543.02680600,1.2701,0.5595,0.4405,1.3245,0.5698,0.4302,1.6434,0.6217,0.3783,-0.0001,0.0244450,-0.00000358
1715300700000,1153588430.00000000,28087259.62476390,1.2665,0.5588,0.4412,1.3247,0.5698,0.4302,1.6413,0.6214,0.3786,-0.0006,0.0243480,-0.00001537
1715301000000,1154291351.00000000,28081045.92727952,1.2738,0.5602,0.4398,1.3319,0.5712,0.4288,1.6483,0.6224,0.3776,-0.0005,0.0243280,-0.00001269
1715301300000,1154269424.00000000,28077245.91527856,1.2753,0.5605,0.4395,1.3288,0.5706,0.4294,1.6504,0.6227,0.3773,-0.0006,0.0243210,-0.00001556
1715301600000,1152111461.00000000,27953680.37824300,1.2758,0.5606,0.4394,1.3293,0.5707,0.4293,1.6462,0.6221,0.3779,-0.0004,0.0242630,-0.00000999
1715301900000,1150798948.00000000,27958234.64604924,1.2894,0.5632,0.4368,1.3292,0.5707,0.4293,1.6652,0.6248,0.3752,-0.0003,0.0242910,-0.00000835
1715302200000,1154754651.00000000,27921967.46118000,1.2821,0.5618,0.4382,1.3262,0.5701,0.4299,1.6617,0.6243,0.3757,-0.0006,0.0241810,-0.00001353
1715302500000,1152358341.00000000,27976483.33587819,1.2810,0.5616,0.4384,1.3313,0.5711,0.4289,1.6546,0.6233,0.3767,-0.0003,0.0242770,-0.00000805
1715302800000,1152745127.00000000,27986346.19330600,1.2686,0.5592,0.4408,1.3281,0.5705,0.4295,1.6448,0.6219,0.3781,-0.0007,0.0242780,-0.00001731
1715303100000,1155262516.00000000,28150281.72737200,1.2665,0.5588,0.4412,1.3291,0.5707,0.4293,1.6420,0.6215,0.3785,-0.0001,0.0243670,-0.00000343
1715303400000,1154023704.00000000,28055470.26794400,1.2568,0.5569,0.4431,1.3243,0.5698,0.4302,1.6233,0.6188,0.3812,-0.0009,0.0243100,-0.00002283
1715303700000,1156815419.00000000,28045833.01823600,1.2467,0.5549,0.4451,1.3176,0.5685,0.4315,1.6157,0.6177,0.3823,0.0001,0.0242470,0.00000229
1715304000000,1159124072.00000000,28129796.84790680,1.2584,0.5572,0.4428,1.3186,0.5687,0.4313,1.6240,0.6189,0.3811,-0.0002,0.0242660,-0.00000508
1715304300000,1164574476.00000000,28359880.67997864,1.2604,0.5576,0.4424,1.3166,0.5683,0.4317,1.6344,0.6204,0.3796,-0.0001,0.0243480,-0.00000335
1715304600000,1167307010.00000000,28542208.91282330,1.2614,0.5578,0.4422,1.3197,0.5689,0.4311,1.6240,0.6189,0.3811,-0.0003,0.0244470,-0.00000781
1715304900000,1172908283.00000000,28745307.78544476,1.2635,0.5582,0.4418,1.3222,0.5694,0.4306,1.6302,0.6198,0.3802,-0.0002,0.0245020,-0.00000498
1715305200000,1180312914.00000000,29159394.47778720,1.2533,0.5562,0.4438,1.3207,0.5691,0.4309,1.6323,0.6201,0.3799,-0.0008,0.0246950,-0.00001890
1715305500000,1181445402.00000000,29142926.39130636,1.2371,0.5530,0.4470,1.3281,0.5705,0.4295,1.6192,0.6182,0.3818,-0.0009,0.0246590,-0.00002120
1715305800000,1179364012.00000000,29180166.40046748,1.2292,0.5514,0.4486,1.3296,0.5707,0.4293,1.6008,0.6155,0.3845,-0.0003,0.0247410,-0.00000847
1715306100000,1183214257.00000000,29386770.74041223,1.2272,0.5510,0.4490,1.3303,0.5709,0.4291,1.6069,0.6164,0.3836,-0.0005,0.0248310,-0.00001138
1715306400000,1186720518.00000000,29381574.21857034,1.2232,0.5502,0.4498,1.3287,0.5706,0.4294,1.6028,0.6158,0.3842,-0.0012,0.0247500,-0.00002884
1715306700000,1185017307.00000000,29132489.17563414,1.2497,0.5555,0.4445,1.2972,0.5647,0.4353,1.6261,0.6192,0.3808,-0.0009,0.0245770,-0.00002177
1715307000000,1187868906.00000000,29253647.54806200,1.2401,0.5536,0.4464,1.3003,0.5653,0.4347,1.6205,0.6184,0.3816,-0.0004,0.0246270,-0.00000972
1715307300000,1188843224.00000000,29381439.97933544,1.2311,0.5518,0.4482,1.2975,0.5647,0.4353,1.6076,0.6165,0.3835,-0.0011,0.0246980,-0.00002639
1715307600000,1189945350.00000000,29556302.88307950,1.2217,0.5499,0.4501,1.2964,0.5645,0.4355,1.5940,0.6145,0.3855,0.0001,0.0248410,0.00000315
1715307900000,1191648798.00000000,29648365.09209576,1.2183,0.5492,0.4508,1.2978,0.5648,0.4352,1.5947,0.6146,0.3854,-0.0007,0.0248670,-0.00001734
1715308200000,1193352682.00000000,29770211.35204940,1.2346,0.5525,0.4475,1.3009,0.5654,0.4346,1.5907,0.6140,0.3860,-0.0001,0.0249430,-0.00000324
1715308500000,1195137629.00000000,29882193.45715506,1.2277,0.5511,0.4489,1.3002,0.5653,0.4347,1.5767,0.6119,0.3881,-0.0001,0.0250000,-0.00000270
1715308800000,1196149864.00000000,29779347.01414400,1.2202,0.5496,0.4504,1.2994,0.5651,0.4349,1.5773,0.6120,0.3880,-0.0001,0.0248970,-0.00000204
1715309100000,1198936728.00000000,29895799.03622928,1.2356,0.5527,0.4473,1.3027,0.5657,0.4343,1.5981,0.6151,0.3849,-0.0003,0.0249330,-0.00000860
1715309400000,1201139291.00000000,29873535.30646100,1.2292,0.5514,0.4486,1.2969,0.5646,0.4354,1.5913,0.6141,0.3859,-0.0003,0.0248700,-0.00000733
1715309700000,1201434884.00000000,29901035.06296868,1.2316,0.5519,0.4481,1.2990,0.5650,0.4350,1.5867,0.6134,0.3866,0.0001,0.0248910,0.00000271
1715310000000,1203021043.00000000,29951614.90757100,1.2277,0.5511,0.4489,1.3011,0.5654,0.4346,1.5867,0.6134,0.3866,-0.0006,0.0248930,-0.00001426
1715310300000,1204288276.00000000,29870323.39611080,1.2331,0.5522,0.4478,1.2980,0.5648,0.4352,1.5867,0.6134,0.3866,-0.0005,0.0247930,-0.00001343
1715310600000,1206708252.00000000,29929984.77435600,1.2361,0.5528,0.4472,1.3007,0.5654,0.4346,1.5940,0.6145,0.3855,-0.0003,0.0248030,-0.00000762
1715310900000,1207474987.00000000,29951223.85653708,1.2396,0.5535,0.4465,1.2983,0.5649,0.4351,1.5954,0.6147,0.3853,-0.0002,0.0248010,-0.00000544
1715311200000,1211419562.00000000,30197031.19358276,1.2311,0.5518,0.4482,1.2961,0.5645,0.4355,1.5900,0.6139,0.3861,0.0001,0.0249290,0.00000223
1715311500000,1213162943.00000000,30313169.00881727,1.2351,0.5526,0.4474,1.2985,0.5649,0.4351,1.5820,0.6127,0.3873,-0.0006,0.0249760,-0.00001469
1715311800000,1220113626.00000000,30586625.85269742,1.2472,0.5550,0.4450,1.3049,0.5661,0.4339,1.5981,0.6151,0.3849,-0.0005,0.0250570,-0.00001330
1715312100000,1221191895.00000000,30580110.48107400,1.2462,0.5548,0.4452,1.3084,0.5668,0.4332,1.5907,0.6140,0.3860,-0.0005,0.0250350,-0.00001137
1715312400000,1222428483.00000000,30665840.92453800,1.2482,0.5552,0.4448,1.3069,0.5665,0.4335,1.6008,0.6155,0.3845,-0.0003,0.0250870,-0.00000877
1715312700000,1224920099.00000000,30576149.28121325,1.2472,0.5550,0.4450,1.3037,0.5659,0.4341,1.6015,0.6156,0.3844,-0.0013,0.0249460,-0.00003177
1715313000000,1223309778.00000000,30706005.14323128,1.2543,0.5564,0.4436,1.3063,0.5664,0.4336,1.6137,0.6174,0.3826,0.0000,0.0251110,0.00000073
1715313300000,1230148993.00000000,31083404.75512400,1.2396,0.5535,0.4465,1.3008,0.5654,0.4346,1.5860,0.6133,0.3867,-0.0006,0.0252650,-0.00001548
1715313600000,1232559121.00000000,31032140.98941700,1.2311,0.5518,0.4482,1.2999,0.5652,0.4348,1.5767,0.6119,0.3881,-0.0008,0.0251760,-0.00002136
1715313900000,1229256309.00000000,31081229.48541522,1.2427,0.5541,0.4459,1.2972,0.5647,0.4353,1.5907,0.6140,0.3860,-0.0006,0.0252800,-0.00001414
1715314200000,1231566509.00000000,31002223.73105700,1.2401,0.5536,0.4464,1.2936,0.5640,0.4360,1.5967,0.6149,0.3851,-0.0005,0.0251740,-0.00001243
1715314500000,1232501794.00000000,31068412.22243440,1.2457,0.5547,0.4453,1.2968,0.5646,0.4354,1.6042,0.6160,0.3840,-0.0004,0.0251990,-0.00001092
1715314800000,1236292948.00000000,31240739.54514612,1.2376,0.5531,0.4469,1.2967,0.5646,0.4354,1.5860,0.6133,0.3867,-0.0004,0.0252660,-0.00000958
1715315100000,1233816166.00000000,31081704.62211232,1.2306,0.5517,0.4483,1.2946,0.5642,0.4358,1.5720,0.6112,0.3888,-0.0005,0.0251960,-0.00001259
1715315400000,1236209636.00000000,31118178.00980100,1.2462,0.5548,0.4452,1.2959,0.5644,0.4356,1.5853,0.6132,0.3868,-0.0009,0.0251680,-0.00002356
1715315700000,1233637123.00000000,30927282.67361000,1.2447,0.5545,0.4455,1.2961,0.5645,0.4355,1.5907,0.6140,0.3860,-0.0004,0.0250700,-0.00001073
1715316000000,1232769065.00000000,30882097.84731500,1.2512,0.5558,0.4442,1.3000,0.5652,0.4348,1.5994,0.6153,0.3847,-0.0007,0.0250550,-0.00001761
1715316300000,1228295163.00000000,30754054.29119400,1.2472,0.5550,0.4450,1.3020,0.5656,0.4344,1.5793,0.6123,0.3877,-0.0004,0.0250400,-0.00001001
1715316600000,1228098163.00000000,30868959.62393954,1.2482,0.5552,0.4448,1.2995,0.5651,0.4349,1.5820,0.6127,0.3873,-0.0005,0.0251340,-0.00001138
1715316900000,1228643016.00000000,30838939.70160000,1.2302,0.5516,0.4484,1.2940,0.5641,0.4359,1.5667,0.6104,0.3896,-0.0002,0.0251010,-0.00000504
1715317200000,1228708285.00000000,30801259.28838000,1.2326,0.5521,0.4479,1.2941,0.5641,0.4359,1.5661,0.6103,0.3897,-0.0006,0.0250670,-0.00001569
1715317500000,1229095933.00000000,30775333.06638700,1.2452,0.5546,0.4454,1.2929,0.5639,0.4361,1.5813,0.6126,0.3874,-0.0006,0.0250450,-0.00001463
1715317800000,1229644569.00000000,30661187.32801500,1.2517,0.5559,0.4441,1.2937,0.5640,0.4360,1.5947,0.6146,0.3854,-0.0008,0.0249350,-0.00001881
1715318100000,1228225416.00000000,30586571.22817296,1.2681,0.5591,0.4409,1.2917,0.5636,0.4364,1.6055,0.6162,0.3838,-0.0006,0.0248990,-0.00001533
1715318400000,1227751308.00000000,30613978.86498000,1.2578,0.5571,0.4429,1.2886,0.5631,0.4369,1.5994,0.6153,0.3847,-0.0006,0.0249340,-0.00001390
1715318700000,1228037275.00000000,30486406.04343025,1.2548,0.5565,0.4435,1.2899,0.5633,0.4367,1.5800,0.6124,0.3876,-0.0007,0.0248250,-0.00001694
1715319000000,1224267502.00000000,30361650.40947470,1.2635,0.5582,0.4418,1.2914,0.5636,0.4364,1.5967,0.6149,0.3851,-0.0002,0.0247990,-0.00000481
1715319300000,1224015250.00000000,30473083.66400000,1.2717,0.5598,0.4402,1.2881,0.5630,0.4370,1.6069,0.6164,0.3836,0.0001,0.0249000,0.00000135
1715319600000,1222103823.00000000,30356655.66905841,1.2655,0.5586,0.4414,1.2835,0.5621,0.4379,1.6096,0.6168,0.3832,-0.0006,0.0248390,-0.00001375
1715319900000,1222519188.00000000,30373966.00834332,1.2665,0.5588,0.4412,1.2844,0.5623,0.4377,1.6076,0.6165,0.3835,-0.0004,0.0248490,-0.00000989
1715320200000,1220270509.00000000,30346724.24774465,1.2671,0.5589,0.4411,1.2849,0.5624,0.4376,1.6035,0.6159,0.3841,-0.0010,0.0248600,-0.00002457
1715320500000,1220783068.00000000,30457719.62194444,1.2624,0.5580,0.4420,1.2814,0.5617,0.4383,1.6028,0.6158,0.3842,-0.0007,0.0249370,-0.00001645
1715320800000,1221143665.00000000,30427871.69551080,1.2517,0.5559,0.4441,1.2802,0.5614,0.4386,1.6008,0.6155,0.3845,-0.0008,0.0249140,-0.00002107
1715321100000,1222255262.00000000,30576072.08227082,1.2543,0.5564,0.4436,1.2793,0.5613,0.4387,1.6055,0.6162,0.3838,-0.0003,0.0250160,-0.00000791
1715321400000,1222969140.00000000,30560775.83946000,1.2472,0.5550,0.4450,1.2763,0.5607,0.4393,1.5961,0.6148,0.3852,-0.0005,0.0249910,-0.00001209
1715321700000,1225438483.00000000,30586944.53568000,1.2609,0.5577,0.4423,1.2788,0.5612,0.4388,1.6130,0.6173,0.3827,-0.0007,0.0249570,-0.00001688
1715322000000,1224301249.00000000,30465512.28011600,1.2712,0.5597,0.4403,1.2774,0.5609,0.4391,1.6192,0.6182,0.3818,-0.0008,0.0248800,-0.00001940
1715322300000,1223553685.00000000,30479945.84703500,1.2717,0.5598,0.4402,1.2803,0.5615,0.4385,1.6302,0.6198,0.3802,-0.0003,0.0249110,-0.00000687
1715322600000,1223582543.00000000,30433520.09329121,1.2676,0.5590,0.4410,1.2796,0.5613,0.4387,1.6205,0.6184,0.3816,-0.0007,0.0248730,-0.00001711
1715322900000,1221964931.00000000,30337894.41702734,1.2660,0.5587,0.4413,1.2804,0.5615,0.4385,1.6281,0.6195,0.3805,-0.0006,0.0248160,-0.00001379
1715323200000,1220753175.00000000,30327305.40937425,1.2686,0.5592,0.4408,1.2814,0.5617,0.4383,1.6240,0.6189,0.3811,-0.0011,0.0248360,-0.00002643
1715323500000,1221417544.00000000,30361997.30875200,1.2701,0.5595,0.4405,1.2804,0.5615,0.4385,1.6219,0.6186,0.3814,-0.0001,0.0248560,-0.00000244
1715323800000,1222860812.00000000,30421108.42012400,1.2769,0.5608,0.4392,1.2801,0.5614,0.4386,1.6337,0.6203,0.3797,-0.0007,0.0248690,-0.00001748
1715324100000,1225383330.00000000,30689725.49985000,1.2681,0.5591,0.4409,1.2808,0.5615,0.4385,1.6199,0.6183,0.3817,-0.0002,0.0250440,-0.00000380
1715324400000,1227049807.00000000,30753549.31284100,1.2563,0.5568,0.4432,1.2496,0.5555,0.4445,1.6096,0.6168,0.3832,-0.0004,0.0250620,-0.00001001
1715324700000,1225824037.00000000,30894443.20451100,1.2594,0.5574,0.4426,1.2472,0.5550,0.4450,1.6144,0.6175,0.3825,-0.0003,0.0252040,-0.00000859
1715325000000,1218725282.00000000,30486412.92923000,1.2681,0.5591,0.4409,1.2471,0.5550,0.4450,1.6233,0.6188,0.3812,-0.0001,0.0250160,-0.00000355
1715325300000,1213802341.00000000,30360837.95543300,1.2920,0.5637,0.4363,1.2688,0.5592,0.4408,1.6674,0.6251,0.3749,-0.0007,0.0250110,-0.00001762
1715325600000,1213048556.00000000,30405062.05614000,1.2847,0.5623,0.4377,1.2685,0.5592,0.4408,1.6476,0.6223,0.3777,-0.0007,0.0250700,-0.00001841
1715325900000,1216708535.00000000,30397406.50955085,1.3004,0.5653,0.4347,1.2724,0.5599,0.4401,1.6831,0.6273,0.3727,-0.0012,0.0249750,-0.00002904
1715326200000,1213521939.00000000,30220336.84691700,1.3063,0.5664,0.4336,1.2763,0.5607,0.4393,1.6889,0.6281,0.3719,-0.0009,0.0248990,-0.00002170
1715326500000,1214619560.00000000,30191798.40292000,1.3047,0.5661,0.4339,1.2723,0.5599,0.4401,1.6903,0.6283,0.3717,-0.0007,0.0248540,-0.00001773
1715326800000,1210330406.00000000,30128754.79655800,1.2973,0.5647,0.4353,1.2692,0.5593,0.4407,1.6695,0.6254,0.3746,-0.0008,0.0248940,-0.00001892
1715327100000,1208793650.00000000,30096544.29770000,1.2873,0.5628,0.4372,1.2549,0.5565,0.4435,1.6476,0.6223,0.3777,-0.0007,0.0248930,-0.00001663
1715327400000,1209870821.00000000,30002836.37006998,1.2873,0.5628,0.4372,1.2532,0.5562,0.4438,1.6504,0.6227,0.3773,-0.0010,0.0247950,-0.00002523
1715327700000,1209031051.00000000,29992167.29532578,1.3026,0.5657,0.4343,1.2540,0.5563,0.4437,1.6667,0.6250,0.3750,-0.0007,0.0248060,-0.00001753
1715328000000,1213371196.00000000,30041857.44176400,1.3052,0.5662,0.4338,1.2517,0.5559,0.4441,1.6667,0.6250,0.3750,-0.0006,0.0247590,-0.00001383
1715328300000,1211612138.00000000,29980106.51042924,1.3111,0.5673,0.4327,1.2554,0.5566,0.4434,1.6774,0.6265,0.3735,-0.0010,0.0247430,-0.00002535
1715328600000,1211163556.00000000,29857700.87559648,1.3132,0.5677,0.4323,1.2520,0.5560,0.4440,1.6717,0.6257,0.3743,-0.0007,0.0246520,-0.00001677
1715328900000,1211544428.00000000,29814303.17188228,1.3196,0.5689,0.4311,1.2500,0.5556,0.4444,1.6860,0.6277,0.3723,-0.0004,0.0246090,-0.00001041
1715329200000,1213328102.00000000,29964350.80699200,1.3164,0.5683,0.4317,1.2494,0.5554,0.4446,1.6767,0.6264,0.3736,-0.0001,0.0246950,-0.00000179
1715329500000,1216184249.00000000,29960698.97411500,1.3084,0.5668,0.4332,1.2524,0.5560,0.4440,1.6525,0.6230,0.3770,-0.0005,0.0246290,-0.00001330
1715329800000,1213924421.00000000,29919595.20438700,1.3137,0.5678,0.4322,1.2524,0.5560,0.4440,1.6695,0.6254,0.3746,-0.0004,0.0246420,-0.00001024
1715330100000,1216450854.00000000,29997227.97282402,1.3137,0.5678,0.4322,1.2492,0.5554,0.4446,1.6731,0.6259,0.3741,-0.0008,0.0246570,-0.00001969
1715330400000,1217222630.00000000,30103364.13482970,1.3121,0.5675,0.4325,1.2490,0.5554,0.4446,1.6882,0.6280,0.3720,-0.0006,0.0247280,-0.00001573
1715330700000,1218432962.00000000,30025746.00792904,1.3073,0.5666,0.4334,1.2469,0.5549,0.4451,1.6795,0.6268,0.3732,-0.0007,0.0246380,-0.00001750
1715331000000,1217524536.00000000,30015961.11763272,1.3105,0.5672,0.4328,1.2497,0.5555,0.4445,1.6976,0.6293,0.3707,-0.0006,0.0246480,-0.00001520
1715331300000,1217817917.00000000,30059156.08172760,1.3089,0.5669,0.4331,1.2487,0.5553,0.4447,1.6882,0.6280,0.3720,-0.0006,0.0246760,-0.00001364
1715331600000,1218051039.00000000,30072462.10187100,1.3089,0.5669,0.4331,1.2487,0.5553,0.4447,1.6998,0.6296,0.3704,-0.0005,0.0246890,-0.00001253
1715331900000,1218137997.00000000,29929029.33591153,1.3095,0.5670,0.4330,1.2500,0.5556,0.4444,1.6882,0.6280,0.3720,-0.0011,0.0245620,-0.00002763
1715332200000,1215418405.00000000,29913877.78386000,1.3084,0.5668,0.4332,1.2557,0.5567,0.4433,1.6925,0.6286,0.3714,-0.0004,0.0246050,-0.00001009
1715332500000,1213706272.00000000,29876593.59155200,1.2978,0.5648,0.4352,1.2492,0.5554,0.4446,1.6681,0.6252,0.3748,-0.0004,0.0246150,-0.00000926
1715332800000,1212608377.00000000,29859268.67524800,1.2925,0.5638,0.4362,1.2475,0.5551,0.4449,1.6603,0.6241,0.3759,-0.0003,0.0246240,-0.00000732
1715333100000,1214027263.00000000,29912939.76478009,1.2873,0.5628,0.4372,1.2483,0.5552,0.4448,1.6610,0.6242,0.3758,-0.0007,0.0246300,-0.00001845
1715333400000,1214335284.00000000,29852004.28657200,1.2931,0.5639,0.4361,1.2478,0.5551,0.4449,1.6652,0.6248,0.3752,-0.0006,0.0245800,-0.00001485
1715333700000,1212067371.00000000,29817378.51556953,1.2989,0.5650,0.4350,1.2496,0.5555,0.4445,1.6652,0.6248,0.3752,-0.0012,0.0245880,-0.00002890
1715334000000,1213345854.00000000,29829331.27924344,1.2899,0.5633,0.4367,1.2468,0.5549,0.4451,1.6610,0.6242,0.3758,-0.0004,0.0245900,-0.00000907
1715334300000,1214964528.00000000,30057760.73619936,1.2899,0.5633,0.4367,1.2467,0.5549,0.4451,1.6589,0.6239,0.3761,-0.0005,0.0247340,-0.00001332
1715334600000,1216435206.00000000,29952709.82966010,1.2821,0.5618,0.4382,1.2464,0.5548,0.4452,1.6546,0.6233,0.3767,-0.0011,0.0246240,-0.00002719
