,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,45073274.0,5456119.8177,2.9541,0.7471,0.2529,1.5109,0.6017,0.3983,2.6284,0.7244,0.2756,,,,,,,
1,1715287200000,45025904.0,5467025.45228224,2.9386,0.7461,0.2539,1.5093,0.6015,0.3985,2.6483,0.7259,0.2741,,,,,,,
2,1715287500000,44985827.0,5458580.24818,2.9339,0.7458,0.2542,1.5113,0.6018,0.3982,2.6245,0.7241,0.2759,,,,,,,
3,1715287800000,44937372.0,5448491.43484476,2.951,0.7469,0.2531,1.5114,0.6018,0.3982,2.6311,0.7246,0.2754,,,,,,,
4,1715288100000,44902248.0,5443351.79664408,2.9968,0.7498,0.2502,1.5121,0.6019,0.3981,2.6563,0.7265,0.2735,,,,,,,
5,1715288400000,44878401.0,5446226.88025119,2.9698,0.7481,0.2519,1.5116,0.6018,0.3982,2.639,0.7252,0.2748,,,,,,,
6,1715288700000,44843214.0,5464352.35311654,2.9588,0.7474,0.2526,1.5087,0.6014,0.3986,2.647,0.7258,0.2742,,,,,,,
7,1715289000000,44795856.0,5458922.01100176,2.9604,0.7475,0.2525,1.5078,0.6012,0.3988,2.6684,0.7274,0.2726,,,,,,,
8,1715289300000,44749237.0,5454749.41341304,2.9324,0.7457,0.2543,1.5106,0.6017,0.3983,2.6245,0.7241,0.2759,,,,,,,
9,1715289600000,44776667.0,5440365.0405,3.0241,0.7515,0.2485,1.5171,0.6027,0.3973,2.6832,0.7285,0.2715,,,,,,,
10,1715289900000,44765224.0,5434498.1936,3.0177,0.7511,0.2489,1.5174,0.6028,0.3972,2.6724,0.7277,0.2723,,,,,,,
11,1715290200000,44781155.0,5438925.18389885,3.0064,0.7504,0.2496,1.5178,0.6028,0.3972,2.6751,0.7279,0.2721,,,,,,,
12,1715290500000,44823197.0,5446018.4355,3.0274,0.7517,0.2483,1.5145,0.6023,0.3977,2.6697,0.7275,0.2725,,,,,,,
13,1715290800000,44769673.0,5430252.4241563,3.0453,0.7528,0.2472,1.512,0.6019,0.3981,2.6941,0.7293,0.2707,,,,,,,
14,1715291100000,44770006.0,5451643.63062,3.0096,0.7506,0.2494,1.5118,0.6019,0.3981,2.6941,0.7293,0.2707,,,,,,,
15,1715291400000,44740690.0,5453442.7041,2.9698,0.7481,0.2519,1.5161,0.6026,0.3974,2.6311,0.7246,0.2754,,,,,,,
16,1715291700000,44711528.0,5467793.77353816,2.9777,0.7486,0.2514,1.5162,0.6026,0.3974,2.6298,0.7245,0.2755,,,,,,,
17,1715292000000,44665519.0,5450351.49490767,2.9904,0.7494,0.2506,1.5162,0.6026,0.3974,2.6298,0.7245,0.2755,,,,,,,
18,1715292300000,44645076.0,5446699.272,2.9651,0.7478,0.2522,1.5162,0.6026,0.3974,2.647,0.7258,0.2742,,,,,,,
19,1715292600000,44640437.0,5453722.18829,2.9872,0.7492,0.2508,1.5167,0.6027,0.3973,2.651,0.7261,0.2739,,,,,,,
20,1715292900000,44613532.0,5463197.35140392,2.9841,0.749,0.251,1.5157,0.6025,0.3975,2.6496,0.726,0.274,,,,,,,
21,1715293200000,44588811.0,5443675.82217954,2.9841,0.749,0.251,1.515,0.6024,0.3976,2.6684,0.7274,0.2726,,,,,,,
22,1715293500000,44597553.0,5455355.08695177,2.9904,0.7494,0.2506,1.5174,0.6028,0.3972,2.651,0.7261,0.2739,,,,,,,
23,1715293800000,44560470.0,5457551.5841346,2.9936,0.7496,0.2504,1.5171,0.6027,0.3973,2.6603,0.7268,0.2732,,,,,,,
24,1715294100000,44560050.0,5444346.909,3.0064,0.7504,0.2496,1.5173,0.6028,0.3972,2.6724,0.7277,0.2723,,,,,,,
25,1715294400000,44554176.0,5465478.14604864,2.9857,0.7491,0.2509,1.5174,0.6028,0.3972,2.6684,0.7274,0.2726,,,,,,,
26,1715294700000,44535273.0,5479684.56606585,2.9698,0.7481,0.2519,1.5172,0.6027,0.3973,2.6536,0.7263,0.2737,,,,,,,
27,1715295000000,44468909.0,5495247.20843136,2.8941,0.7432,0.2568,1.5203,0.6032,0.3968,2.5676,0.7197,0.2803,,,,,,,
28,1715295300000,44569298.0,5512488.55195492,2.937,0.746,0.254,1.5198,0.6031,0.3969,2.5791,0.7206,0.2794,,,,,,,
29,1715295600000,44562790.0,5513754.0067,2.9231,0.7451,0.2549,1.522,0.6035,0.3965,2.5499,0.7183,0.2817,,,,,,,
30,1715295900000,44574855.0,5506777.5867,2.937,0.746,0.254,1.5243,0.6039,0.3961,2.6023,0.7224,0.2776,,,,,,,
31,1715296200000,44505028.0,5480425.25151788,2.9761,0.7485,0.2515,1.5216,0.6034,0.3966,2.663,0.727,0.273,,,,,,,
32,1715296500000,44487083.0,5468797.11319,2.9888,0.7493,0.2507,1.5228,0.6036,0.3964,2.6643,0.7271,0.2729,,,,,,,
33,1715296800000,44473846.0,5469489.64458736,3.0112,0.7507,0.2493,1.5233,0.6037,0.3963,2.69,0.729,0.271,,,,,,,
34,1715297100000,44481626.0,5458346.10907138,3.0064,0.7504,0.2496,1.523,0.6036,0.3964,2.69,0.729,0.271,,,,,,,
35,1715297400000,44500050.0,5460156.135,3.0048,0.7503,0.2497,1.5222,0.6035,0.3965,2.6819,0.7284,0.2716,,,,,,,
36,1715297700000,44500330.0,5461292.3191708,3.0064,0.7504,0.2496,1.5222,0.6035,0.3965,2.6563,0.7265,0.2735,,,,,,,
37,1715298000000,44498403.0,5451054.3675,3.0,0.75,0.25,1.5221,0.6035,0.3965,2.663,0.727,0.273,,,,,,,
38,1715298300000,44497368.0,5449147.68528,2.9952,0.7497,0.2503,1.5221,0.6035,0.3965,2.6483,0.7259,0.2741,,,,,,,
39,1715298600000,44547612.0,5471783.18196,3.0193,0.7512,0.2488,1.5195,0.6031,0.3969,2.7051,0.7301,0.2699,,,,,,,
40,1715298900000,44541346.0,5466378.55671524,3.0096,0.7506,0.2494,1.5197,0.6031,0.3969,2.6928,0.7292,0.2708,,,,,,,
41,1715299200000,44522939.0,5459848.00957,3.0064,0.7504,0.2496,1.5203,0.6032,0.3968,2.686,0.7287,0.2713,,,,,,,
42,1715299500000,44519255.0,5436767.9937186,3.0816,0.755,0.245,1.5202,0.6032,0.3968,2.7453,0.733,0.267,,,,,,,
43,1715299800000,44521970.0,5450411.6232184,3.0634,0.7539,0.2461,1.5202,0.6032,0.3968,2.7383,0.7325,0.2675,,,,,,,
44,1715300100000,44516447.0,5447477.61939,3.0634,0.7539,0.2461,1.5195,0.6031,0.3969,2.7092,0.7304,0.2696,,,,,,,
45,1715300400000,44536121.0,5454338.73887,3.0535,0.7533,0.2467,1.5201,0.6032,0.3968,2.701,0.7298,0.2702,,,,,,,
46,1715300700000,44478607.0,5456144.01815265,3.0371,0.7523,0.2477,1.5261,0.6041,0.3959,2.6643,0.7271,0.2729,,,,,,,
47,1715301000000,44359308.0,5420321.5116204,3.0404,0.7525,0.2475,1.5219,0.6035,0.3965,2.6657,0.7272,0.2728,,,,,,,
48,1715301300000,44326317.0,5428035.44265759,3.0112,0.7507,0.2493,1.5245,0.6039,0.3961,2.6271,0.7243,0.2757,,,,,,,
49,1715301600000,44306933.0,5434296.72849228,3.0209,0.7513,0.2487,1.5252,0.604,0.396,2.6298,0.7245,0.2755,,,,,,,
50,1715301900000,44283411.0,5443312.89461301,2.9841,0.749,0.251,1.5249,0.6039,0.3961,2.6258,0.7242,0.2758,,,,,,,
51,1715302200000,44272264.0,5425801.92436712,3.0128,0.7508,0.2492,1.5235,0.6037,0.3963,2.6536,0.7263,0.2737,,,,,,,
52,1715302500000,44248308.0,5427497.45928,3.0274,0.7517,0.2483,1.5264,0.6042,0.3958,2.6403,0.7253,0.2747,,,,,,,
53,1715302800000,44358292.0,5452654.77109892,2.9324,0.7457,0.2543,1.5243,0.6038,0.3962,2.5804,0.7207,0.2793,,,,,,,
54,1715303100000,44356593.0,5459552.29466946,2.9588,0.7474,0.2526,1.5241,0.6038,0.3962,2.6088,0.7229,0.2771,,,,,,,
55,1715303400000,44378071.0,5442082.84673,3.0096,0.7506,0.2494,1.5231,0.6037,0.3963,2.6403,0.7253,0.2747,,,,,,,
56,1715303700000,44391756.0,5437428.5542866,3.0225,0.7514,0.2486,1.523,0.6036,0.3964,2.6711,0.7276,0.2724,,,,,,,
57,1715304000000,44391422.0,5433510.0528,3.0535,0.7533,0.2467,1.5223,0.6035,0.3965,2.69,0.729,0.271,,,,,,,
58,1715304300000,44417055.0,5447773.56010695,3.0552,0.7534,0.2466,1.5234,0.6037,0.3963,2.6792,0.7282,0.2718,,,,,,,
59,1715304600000,44411775.0,5460427.73625,3.0568,0.7535,0.2465,1.5244,0.6039,0.3961,2.6657,0.7272,0.2728,,,,,,,
60,1715304900000,44456308.0,5476275.16981948,3.0209,0.7513,0.2487,1.5221,0.6035,0.3965,2.6523,0.7262,0.2738,,,,,,,
61,1715305200000,44502016.0,5478958.70905344,3.029,0.7518,0.2482,1.5223,0.6035,0.3965,2.6657,0.7272,0.2728,,,,,,,
62,1715305500000,44531880.0,5466500.6870676,3.0502,0.7531,0.2469,1.5235,0.6037,0.3963,2.6792,0.7282,0.2718,,,,,,,
63,1715305800000,44542706.0,5468953.44268,3.0519,0.7532,0.2468,1.5231,0.6037,0.3963,2.6914,0.7291,0.2709,,,,,,,
64,1715306100000,44526263.0,5480016.3872094,3.0306,0.7519,0.2481,1.5262,0.6041,0.3959,2.6456,0.7257,0.2743,,,,,,,
65,1715306400000,44532391.0,5476925.21149295,3.029,0.7518,0.2482,1.5561,0.6088,0.3912,2.6684,0.7274,0.2726,,,,,,,
66,1715306700000,44484983.0,5455638.31512,3.0355,0.7522,0.2478,1.5569,0.6089,0.3911,2.6456,0.7257,0.2743,,,,,,,
67,1715307000000,44361326.0,5439585.79412,3.0568,0.7535,0.2465,1.5572,0.609,0.391,2.6657,0.7272,0.2728,,,,,,,
68,1715307300000,44377877.0,5437674.5222624,3.0469,0.7529,0.2471,1.5583,0.6091,0.3909,2.639,0.7252,0.2748,,,,,,,
69,1715307600000,44365828.0,5453602.41449972,3.0371,0.7523,0.2477,1.5581,0.6091,0.3909,2.651,0.7261,0.2739,,,,,,,
70,1715307900000,44369520.0,5455393.1016624,3.0617,0.7538,0.2462,1.5604,0.6094,0.3906,2.6536,0.7263,0.2737,,,,,,,
71,1715308200000,44358803.0,5457019.94506,3.0584,0.7536,0.2464,1.5603,0.6094,0.3906,2.6496,0.726,0.274,,,,,,,
72,1715308500000,44350877.0,5459551.26887562,3.0437,0.7527,0.2473,1.5606,0.6095,0.3905,2.6377,0.7251,0.2749,,,,,,,
73,1715308800000,44353926.0,5450696.1023697,3.07,0.7543,0.2457,1.5608,0.6095,0.3905,2.6496,0.726,0.274,,,,,,,
74,1715309100000,44374592.0,5455933.741936,3.085,0.7552,0.2448,1.5593,0.6093,0.3907,2.6738,0.7278,0.2722,,,,,,,
75,1715309400000,44405496.0,5446334.0844,3.09,0.7555,0.2445,1.5597,0.6093,0.3907,2.6523,0.7262,0.2738,,,,,,,
76,1715309700000,44372184.0,5433817.65264,3.1051,0.7564,0.2436,1.5607,0.6095,0.3905,2.6738,0.7278,0.2722,,,,,,,
77,1715310000000,44404729.0,5447572.15372,3.0733,0.7545,0.2455,1.5597,0.6093,0.3907,2.647,0.7258,0.2742,,,,,,,
78,1715310300000,44390821.0,5427635.05400351,3.1034,0.7563,0.2437,1.5565,0.6088,0.3912,2.6724,0.7277,0.2723,,,,,,,
79,1715310600000,44399047.0,5436591.37869386,3.08,0.7549,0.2451,1.5562,0.6088,0.3912,2.6496,0.726,0.274,,,,,,,
80,1715310900000,44451163.0,5431487.60697,3.0967,0.7559,0.2441,1.5562,0.6088,0.3912,2.6792,0.7282,0.2718,,,,,,,
81,1715311200000,44435057.0,5438655.90689977,3.07,0.7543,0.2457,1.556,0.6088,0.3912,2.6643,0.7271,0.2729,,,,,,,
82,1715311500000,44302649.0,5430175.68793,3.0339,0.7521,0.2479,1.5622,0.6097,0.3903,2.6377,0.7251,0.2749,,,,,,,
83,1715311800000,44293940.0,5435983.9741062,3.0323,0.752,0.248,1.5625,0.6098,0.3902,2.6271,0.7243,0.2757,,,,,,,
84,1715312100000,44434102.0,5436625.24231908,3.085,0.7552,0.2448,1.5576,0.609,0.391,2.659,0.7267,0.2733,,,,,,,
85,1715312400000,44457601.0,5439832.05836,3.0933,0.7557,0.2443,1.5589,0.6092,0.3908,2.667,0.7273,0.2727,,,,,,,
86,1715312700000,44466669.0,5440276.39747176,3.0917,0.7556,0.2444,1.5592,0.6093,0.3907,2.6684,0.7274,0.2726,,,,,,,
87,1715313000000,44480673.0,5446658.40885,3.0733,0.7545,0.2455,1.5606,0.6095,0.3905,2.651,0.7261,0.2739,,,,,,,
88,1715313300000,44489402.0,5460149.60572644,3.0683,0.7542,0.2458,1.5606,0.6095,0.3905,2.6417,0.7254,0.2746,,,,,,,
89,1715313600000,44483098.0,5453806.19202298,3.075,0.7546,0.2454,1.5613,0.6096,0.3904,2.6364,0.725,0.275,,,,,,,
90,1715313900000,44517113.0,5467239.24312504,3.0984,0.756,0.244,1.5591,0.6092,0.3908,2.6563,0.7265,0.2735,,,,,,,
91,1715314200000,44433072.0,5444173.69939872,3.1339,0.7581,0.2419,1.5583,0.6091,0.3909,2.6941,0.7293,0.2707,,,,,,,
92,1715314500000,44428522.0,5449276.84745374,3.1322,0.758,0.242,1.559,0.6092,0.3908,2.7161,0.7309,0.2691,,,,,,,
93,1715314800000,44418522.0,5455491.31155918,3.1322,0.758,0.242,1.5589,0.6092,0.3908,2.7092,0.7304,0.2696,,,,,,,
94,1715315100000,44483649.0,5475937.1919,3.1305,0.7579,0.2421,1.5595,0.6093,0.3907,2.6969,0.7295,0.2705,,,,,,,
95,1715315400000,44554388.0,5492219.40876,3.1288,0.7578,0.2422,1.5607,0.6095,0.3905,2.6751,0.7279,0.2721,,,,,,,
96,1715315700000,44572704.0,5490778.57910208,3.1408,0.7585,0.2415,1.5609,0.6095,0.3905,2.6805,0.7283,0.2717,,,,,,,
97,1715316000000,44609627.0,5500859.05328581,3.1237,0.7575,0.2425,1.558,0.6091,0.3909,2.6941,0.7293,0.2707,,,,,,,
98,1715316300000,44551924.0,5477209.97240608,3.1684,0.7601,0.2399,1.561,0.6095,0.3905,2.73,0.7319,0.2681,,,,,,,
99,1715316600000,44542781.0,5478835.11316084,3.1649,0.7599,0.2401,1.5619,0.6097,0.3903,2.7313,0.732,0.268,,,,,,,
100,1715316900000,44552965.0,5485806.58045,3.1442,0.7587,0.2413,1.5623,0.6097,0.3903,2.7175,0.731,0.269,,,,,,,
101,1715317200000,44534742.0,5488437.1099719,3.1408,0.7585,0.2415,1.5609,0.6095,0.3905,2.7244,0.7315,0.2685,,,,,,,
102,1715317500000,44627140.0,5524044.6763652,3.1442,0.7587,0.2413,1.5604,0.6094,0.3906,2.7202,0.7312,0.2688,,,,,,,
103,1715317800000,44551303.0,5495065.97168629,3.1511,0.7591,0.2409,1.5603,0.6094,0.3906,2.7286,0.7318,0.2682,,,,,,,
104,1715318100000,44546169.0,5474870.72699601,3.1477,0.7589,0.2411,1.5615,0.6096,0.3904,2.7133,0.7307,0.2693,,,,,,,
105,1715318400000,44498252.0,5470615.10088,3.1946,0.7616,0.2384,1.5593,0.6093,0.3907,2.8197,0.7382,0.2618,,,,,,,
106,1715318700000,44522428.0,5457813.0020796,3.2123,0.7626,0.2374,1.5593,0.6093,0.3907,2.7936,0.7364,0.2636,,,,,,,
107,1715319000000,44548683.0,5463450.48312,3.1929,0.7615,0.2385,1.5597,0.6093,0.3907,2.7608,0.7341,0.2659,,,,,,,
108,1715319300000,45079877.0,5509211.76817,3.2445,0.7644,0.2356,1.5435,0.6068,0.3932,2.9154,0.7446,0.2554,,,,,,,
109,1715319600000,45228674.0,5546392.29262,3.2373,0.764,0.236,1.5487,0.6076,0.3924,2.885,0.7426,0.2574,,,,,,,
110,1715319900000,45235410.0,5540675.0262435,3.2373,0.764,0.236,1.5496,0.6078,0.3922,2.8685,0.7415,0.2585,,,,,,,
111,1715320200000,45223292.0,5539880.85620812,3.2499,0.7647,0.2353,1.5493,0.6077,0.3923,2.87,0.7416,0.2584,,,,,,,
112,1715320500000,45197060.0,5537287.0718992,3.2409,0.7642,0.2358,1.5489,0.6077,0.3923,2.882,0.7424,0.2576,,,,,,,
113,1715320800000,45195114.0,5534257.86074298,3.2355,0.7639,0.2361,1.5491,0.6077,0.3923,2.879,0.7422,0.2578,,,,,,,
114,1715321100000,45171372.0,5535008.11781688,3.2141,0.7627,0.2373,1.548,0.6075,0.3925,2.8595,0.7409,0.2591,,,,,,,
115,1715321400000,45152178.0,5537463.10992,3.2248,0.7633,0.2367,1.5472,0.6074,0.3926,2.864,0.7412,0.2588,,,,,,,
116,1715321700000,45130476.0,5534350.27188,3.2337,0.7638,0.2362,1.5474,0.6074,0.3926,2.876,0.742,0.258,,,,,,,
117,1715322000000,45116082.0,5530736.72978046,3.2319,0.7637,0.2363,1.5479,0.6075,0.3925,2.8715,0.7417,0.2583,,,,,,,
118,1715322300000,45114030.0,5518348.1496,3.2481,0.7646,0.2354,1.5471,0.6074,0.3926,2.888,0.7428,0.2572,,,,,,,
119,1715322600000,45109456.0,5517337.56336,3.2319,0.7637,0.2363,1.5476,0.6075,0.3925,2.879,0.7422,0.2578,,,,,,,
120,1715322900000,45093035.0,5513501.0392111,3.2373,0.764,0.236,1.5501,0.6079,0.3921,2.8476,0.7401,0.2599,,,,,,,
121,1715323200000,45006032.0,5513151.1582376,3.223,0.7632,0.2368,1.5588,0.6092,0.3908,2.8417,0.7397,0.2603,,,,,,,
122,1715323500000,44993918.0,5519455.6640657,3.2265,0.7634,0.2366,1.5581,0.6091,0.3909,2.8521,0.7404,0.2596,,,,,,,
123,1715323800000,44965150.0,5519022.511,3.2445,0.7644,0.2356,1.5563,0.6088,0.3912,2.8536,0.7405,0.2595,,,,,,,
124,1715324100000,44980585.0,5544928.5387847,3.2626,0.7654,0.2346,1.5569,0.6089,0.3911,2.8521,0.7404,0.2596,,,,,,,
125,1715324400000,45025587.0,5548356.75285225,3.2517,0.7648,0.2352,1.5582,0.6091,0.3909,2.8329,0.7391,0.2609,,,,,,,
126,1715324700000,45028830.0,5559807.3526611,3.2248,0.7633,0.2367,1.5575,0.609,0.391,2.8168,0.738,0.262,,,,,,,
127,1715325000000,44927543.0,5526986.33986,3.2463,0.7645,0.2355,1.5582,0.6091,0.3909,2.8491,0.7402,0.2598,,,,,,,
128,1715325300000,44910682.0,5519971.92462,3.2553,0.765,0.235,1.5585,0.6092,0.3908,2.8536,0.7405,0.2595,,,,,,,
129,1715325600000,44906774.0,5541944.97934,3.223,0.7632,0.2368,1.5576,0.609,0.391,2.8358,0.7393,0.2607,,,,,,,
130,1715325900000,44865549.0,5525752.28140152,3.2445,0.7644,0.2356,1.5567,0.6089,0.3911,2.8685,0.7415,0.2585,,,,,,,
131,1715326200000,44838123.0,5513295.60408,3.2589,0.7652,0.2348,1.5584,0.6091,0.3909,2.8655,0.7413,0.2587,,,,,,,
132,1715326500000,44803852.0,5501913.0256,3.2699,0.7658,0.2342,1.5594,0.6093,0.3907,2.8565,0.7407,0.2593,,,,,,,
133,1715326800000,44770069.0,5505375.38493,3.2283,0.7635,0.2365,1.5601,0.6094,0.3906,2.8139,0.7378,0.2622,,,,,,,
134,1715327100000,44750164.0,5518969.70587072,3.2283,0.7635,0.2365,1.5597,0.6093,0.3907,2.8241,0.7385,0.2615,,,,,,,
135,1715327400000,44738861.0,5497511.23968,3.2445,0.7644,0.2356,1.5601,0.6094,0.3906,2.8095,0.7375,0.2625,,,,,,,
136,1715327700000,44697849.0,5483532.11532,3.2735,0.766,0.234,1.5599,0.6094,0.3906,2.885,0.7426,0.2574,,,,,,,
137,1715328000000,44733784.0,5486418.77778832,3.2717,0.7659,0.2341,1.5626,0.6098,0.3902,2.8536,0.7405,0.2595,,,,,,,
138,1715328300000,44662589.0,5467594.14538,3.2499,0.7647,0.2353,1.5649,0.6101,0.3899,2.8506,0.7403,0.2597,,,,,,,
139,1715328600000,44637792.0,5456077.31616,3.2553,0.765,0.235,1.5627,0.6098,0.3902,2.8715,0.7417,0.2583,,,,,,,
140,1715328900000,44647408.0,5451639.16123216,3.2626,0.7654,0.2346,1.5648,0.6101,0.3899,2.8432,0.7398,0.2602,,,,,,,
141,1715329200000,44377778.0,5421373.08448092,3.3725,0.7713,0.2287,1.5603,0.6094,0.3906,2.9401,0.7462,0.2538,,,,,,,
142,1715329500000,44400678.0,5427001.18650942,3.3497,0.7701,0.2299,1.5624,0.6097,0.3903,2.864,0.7412,0.2588,,,,,,,
143,1715329800000,44327308.0,5415608.17919944,3.3253,0.7688,0.2312,1.5643,0.61,0.39,2.8565,0.7407,0.2593,,,,,,,
144,1715330100000,44368288.0,5423810.2402176,3.3384,0.7695,0.2305,1.5643,0.61,0.39,2.8715,0.7417,0.2583,,,,,,,
145,1715330400000,44362459.0,5420274.00243145,3.3497,0.7701,0.2299,1.567,0.6104,0.3896,2.858,0.7408,0.2592,,,,,,,
146,1715330700000,44356866.0,5411094.08334,3.3668,0.771,0.229,1.5669,0.6104,0.3896,2.876,0.742,0.258,,,,,,,
147,1715331000000,44456186.0,5409495.396759,3.3917,0.7723,0.2277,1.5732,0.6114,0.3886,2.951,0.7469,0.2531,,,,,,,
148,1715331300000,44524261.0,5427952.65851,3.3956,0.7725,0.2275,1.5782,0.6121,0.3879,2.9308,0.7456,0.2544,,,,,,,
149,1715331600000,44521978.0,5439189.50236992,3.3611,0.7707,0.2293,1.5776,0.612,0.388,2.9063,0.744,0.256,,,,,,,
150,1715331900000,44533175.0,5421755.518147,3.3706,0.7712,0.2288,1.5779,0.6121,0.3879,2.885,0.7426,0.2574,,,,,,,
151,1715332200000,44546824.0,5421793.94904,3.3879,0.7721,0.2279,1.5789,0.6122,0.3878,2.92,0.7449,0.2551,,,,,,,
152,1715332500000,44583718.0,5425932.99808216,3.3592,0.7706,0.2294,1.5787,0.6122,0.3878,2.9185,0.7448,0.2552,,,,,,,
153,1715332800000,44635378.0,5436142.68662,3.3253,0.7688,0.2312,1.5785,0.6122,0.3878,2.885,0.7426,0.2574,,,,,,,
154,1715333100000,44704181.0,5450471.43639748,3.3159,0.7683,0.2317,1.5786,0.6122,0.3878,2.8565,0.7407,0.2593,,,,,,,
155,1715333400000,44794410.0,5464022.1318,3.2955,0.7672,0.2328,1.5782,0.6121,0.3879,2.8241,0.7385,0.2615,,,,,,,
156,1715333700000,44830585.0,5471969.64992725,3.2955,0.7672,0.2328,1.5785,0.6122,0.3878,2.8402,0.7396,0.2604,,,,,,,
157,1715334000000,44834769.0,5474927.42584767,3.2974,0.7673,0.2327,1.5787,0.6122,0.3878,2.8595,0.7409,0.2591,,,,,,,
158,1715334300000,44881377.0,5499653.52939258,3.2882,0.7668,0.2332,1.5784,0.6122,0.3878,2.8168,0.738,0.262,,,,,,,
159,1715334600000,44864403.0,5483279.77839282,3.3328,0.7692,0.2308,1.5805,0.6125,0.3875,2.8329,0.7391,0.2609,,,,,,,
160,1715334900000,44861668.0,5487927.84644,3.3029,0.7676,0.2324,1.581,0.6126,0.3874,2.8124,0.7377,0.2623,,,,,,,
161,1715335200000,44835054.0,5494376.7032583,3.3048,0.7677,0.2323,1.5815,0.6126,0.3874,2.8197,0.7382,0.2618,,,,,,,
162,1715335500000,44721724.0,5474059.7662548,3.384,0.7719,0.2281,1.5854,0.6132,0.3868,2.8625,0.7411,0.2589,,,,,,,
163,1715335800000,44698672.0,5467513.84586336,3.3725,0.7713,0.2287,1.5868,0.6134,0.3866,2.8358,0.7393,0.2607,,,,,,,
164,1715336100000,44705232.0,5468661.83243952,3.3365,0.7694,0.2306,1.5864,0.6134,0.3866,2.8212,0.7383,0.2617,,,,,,,
165,1715336400000,44733619.0,5487419.80972339,3.3649,0.7709,0.2291,1.5859,0.6133,0.3867,2.8551,0.7406,0.2594,,,,,,,
166,1715336700000,44725237.0,5485595.49053937,3.3478,0.77,0.23,1.5844,0.6131,0.3869,2.8491,0.7402,0.2598,,,,,,,
167,1715337000000,44749745.0,5489898.7166,3.3611,0.7707,0.2293,1.5843,0.613,0.387,2.8565,0.7407,0.2593,,,,,,,
168,1715337300000,44792687.0,5488000.01124,3.384,0.7719,0.2281,1.5855,0.6132,0.3868,2.867,0.7414,0.2586,,,,,,,
169,1715337600000,44774710.0,5484094.6869787,3.3783,0.7716,0.2284,1.587,0.6135,0.3865,2.861,0.741,0.259,,,,,,,
170,1715337900000,44803723.0,5495176.62595,3.329,0.769,0.231,1.5871,0.6135,0.3865,2.8417,0.7397,0.2603,,,,,,,
171,1715338200000,44805732.0,5488042.18156764,3.3573,0.7705,0.2295,1.5876,0.6135,0.3865,2.8536,0.7405,0.2595,,,,,,,
172,1715338500000,44797427.0,5494343.94502355,3.3592,0.7706,0.2294,1.5866,0.6134,0.3866,2.8595,0.7409,0.2591,,,,,,,
173,1715338800000,44798274.0,5494248.92409354,3.3725,0.7713,0.2287,1.5894,0.6138,0.3862,2.858,0.7408,0.2592,,,,,,,
174,1715339100000,44777561.0,5486119.01163218,3.3554,0.7704,0.2296,1.591,0.6141,0.3859,2.8402,0.7396,0.2604,,,,,,,
175,1715339400000,44869924.0,5484097.68421812,3.3917,0.7723,0.2277,1.5849,0.6131,0.3869,2.9047,0.7439,0.2561,,,,,,,
176,1715339700000,44881959.0,5485024.20939,3.384,0.7719,0.2281,1.5845,0.6131,0.3869,2.9032,0.7438,0.2562,,,,,,,
177,1715340000000,44918304.0,5486664.37721952,3.3821,0.7718,0.2282,1.5852,0.6132,0.3868,2.9231,0.7451,0.2549,,,,,,,
178,1715340300000,44942862.0,5499511.05978126,3.4014,0.7728,0.2272,1.5861,0.6133,0.3867,2.9246,0.7452,0.2548,,,,,,,
179,1715340600000,45013406.0,5513189.75132904,3.3821,0.7718,0.2282,1.588,0.6136,0.3864,2.861,0.741,0.259,,,,,,,
180,1715340900000,45036692.0,5516414.24704012,3.3764,0.7715,0.2285,1.5861,0.6133,0.3867,2.827,0.7387,0.2613,,,,,,,
181,1715341200000,45049254.0,5524840.51056,3.3917,0.7723,0.2277,1.5853,0.6132,0.3868,2.8373,0.7394,0.2606,,,,,,,
182,1715341500000,45065205.0,5536485.760275,3.3459,0.7699,0.2301,1.5849,0.6131,0.3869,2.8212,0.7383,0.2617,,,,,,,
183,1715341800000,45098263.0,5577388.77387496,3.3197,0.7685,0.2315,1.5812,0.6126,0.3874,2.8139,0.7378,0.2622,,,,,,,
184,1715342100000,45256223.0,5609056.27862,3.2662,0.7656,0.2344,1.5793,0.6123,0.3877,2.7864,0.7359,0.2641,,,,,,,
185,1715342400000,45296807.0,5621429.77793084,3.2141,0.7627,0.2373,1.5784,0.6122,0.3878,2.7133,0.7307,0.2693,,,,,,,
186,1715342700000,45219992.0,5636773.747782,3.1719,0.7603,0.2397,1.5769,0.6119,0.3881,2.7147,0.7308,0.2692,,,,,,,
187,1715343000000,45259186.0,5605500.44659752,3.2662,0.7656,0.2344,1.572,0.6112,0.3888,2.879,0.7422,0.2578,,,,,,,
188,1715343300000,45243661.0,5609584.17223888,3.2626,0.7654,0.2346,1.5744,0.6116,0.3884,2.864,0.7412,0.2588,,,,,,,
189,1715343600000,45269356.0,5601571.71397076,3.2337,0.7638,0.2362,1.5722,0.6112,0.3888,2.8081,0.7374,0.2626,,,,,,,
