,timestamp,sumOpenInterest,sumOpenInterestValue,topacclongShortRatio,toplongAccount,topshortAccount,topposlongShortRatio,longPosition,shortPosition,globallongShortRatio,globallongAccount,globalshortAccount,buySellRatio,sellVol,buyVol,openPrice,highPrice,lowPrice,closePrice
0,1715286900000,3202198878.0,12098323.64693814,0.952,0.4877,0.5123,1.562,0.6097,0.3903,0.992,0.498,0.502,,,,,,,
1,1715287200000,3205379612.0,12133067.01493464,0.9569,0.489,0.511,1.5639,0.61,0.39,1.002,0.5005,0.4995,,,,,,,
2,1715287500000,3207192206.0,12094546.31228042,0.9708,0.4926,0.5074,1.5598,0.6093,0.3907,1.0113,0.5028,0.4972,,,,,,,
3,1715287800000,3206970426.0,12035695.86936948,0.9736,0.4933,0.5067,1.5697,0.6109,0.3891,0.9956,0.4989,0.5011,,,,,,,
4,1715288100000,3199087604.0,12034871.59361988,0.9619,0.4903,0.5097,1.5715,0.6111,0.3889,0.9869,0.4967,0.5033,,,,,,,
5,1715288400000,3197395543.0,12022047.37190285,0.9535,0.4881,0.5119,1.5656,0.6102,0.3898,0.9885,0.4971,0.5029,,,,,,,
6,1715288700000,3199689617.0,12059822.14785002,0.9573,0.4891,0.5109,1.5632,0.6099,0.3901,0.9936,0.4984,0.5016,,,,,,,
7,1715289000000,3200190272.0,12129009.14800448,0.9596,0.4897,0.5103,1.5602,0.6094,0.3906,1.0088,0.5022,0.4978,,,,,,,
8,1715289300000,3195652471.0,12126574.38822841,0.9662,0.4914,0.5086,1.5569,0.6089,0.3911,1.0101,0.5025,0.4975,,,,,,,
9,1715289600000,3188852088.0,12051533.03061576,0.9739,0.4934,0.5066,1.5614,0.6096,0.3904,1.0012,0.5003,0.4997,,,,,,,
10,1715289900000,3187905556.0,12086848.27840732,0.96,0.4898,0.5102,1.5624,0.6097,0.3903,1.0109,0.5027,0.4973,,,,,,,
11,1715290200000,3191577075.0,12052512.08717625,0.967,0.4916,0.5084,1.559,0.6092,0.3908,1.0052,0.5013,0.4987,,,,,,,
12,1715290500000,3197883125.0,12053844.820725,0.965,0.4911,0.5089,1.5593,0.6093,0.3907,1.0032,0.5008,0.4992,,,,,,,
13,1715290800000,3192215947.0,12020033.77115274,0.96,0.4898,0.5102,1.5596,0.6093,0.3907,0.9956,0.4989,0.5011,,,,,,,
14,1715291100000,3191546375.0,12053608.94085375,0.9573,0.4891,0.5109,1.5572,0.6089,0.3911,1.0036,0.5009,0.4991,,,,,,,
15,1715291400000,3191710770.0,12084614.9029125,0.9592,0.4896,0.5104,1.5555,0.6087,0.3913,0.9908,0.4977,0.5023,,,,,,,
16,1715291700000,3192287510.0,12153677.008072,0.9531,0.488,0.512,1.5506,0.6079,0.3921,0.9968,0.4992,0.5008,,,,,,,
17,1715292000000,3191595382.0,12129211.42593752,0.9635,0.4907,0.5093,1.5529,0.6083,0.3917,0.9956,0.4989,0.5011,,,,,,,
18,1715292300000,3193636114.0,12193430.42869656,0.9562,0.4888,0.5112,1.5527,0.6083,0.3917,0.9908,0.4977,0.5023,,,,,,,
19,1715292600000,3192319733.0,12263583.56309547,0.9505,0.4873,0.5127,1.5539,0.6084,0.3916,1.0008,0.5002,0.4998,,,,,,,
20,1715292900000,3193155462.0,12261110.27454222,0.9531,0.488,0.512,1.5558,0.6087,0.3913,0.998,0.4995,0.5005,,,,,,,
21,1715293200000,3196945098.0,12275981.45126118,0.9448,0.4858,0.5142,1.5603,0.6094,0.3906,1.0096,0.5024,0.4976,,,,,,,
22,1715293500000,3199692425.0,12355676.292986,0.9581,0.4893,0.5107,1.5567,0.6089,0.3911,1.0096,0.5024,0.4976,,,,,,,
23,1715293800000,3197110611.0,12330776.06003535,0.9577,0.4892,0.5108,1.5555,0.6087,0.3913,1.0032,0.5008,0.4992,,,,,,,
24,1715294100000,3191388535.0,12403618.76624565,0.9566,0.4889,0.5111,1.5551,0.6086,0.3914,0.9984,0.4996,0.5004,,,,,,,
25,1715294400000,3194367522.0,12463367.92956174,0.9527,0.4879,0.5121,1.5492,0.6077,0.3923,0.9885,0.4971,0.5029,,,,,,,
26,1715294700000,3197095471.0,12529097.4413019,0.9444,0.4857,0.5143,1.5472,0.6074,0.3926,0.9849,0.4962,0.5038,,,,,,,
27,1715295000000,3196947284.0,12528484.74179476,0.9387,0.4842,0.5158,1.5494,0.6078,0.3922,0.9873,0.4968,0.5032,,,,,,,
28,1715295300000,3192753791.0,12481751.6705354,0.9372,0.4838,0.5162,1.5504,0.6079,0.3921,0.9845,0.4961,0.5039,,,,,,,
29,1715295600000,3196655853.0,12500650.57939062,0.9339,0.4829,0.5171,1.5504,0.6079,0.3921,0.9952,0.4988,0.5012,,,,,,,
30,1715295900000,3200674833.0,12495242.50754202,0.9406,0.4847,0.5153,1.5509,0.608,0.392,0.9643,0.4909,0.5091,,,,,,,
31,1715296200000,3239634299.0,12707076.78171162,0.919,0.4789,0.5211,1.545,0.6071,0.3929,0.9759,0.4939,0.5061,,,,,,,
32,1715296500000,3246577015.0,12703855.859695,0.932,0.4824,0.5176,1.54,0.6063,0.3937,0.9554,0.4886,0.5114,,,,,,,
33,1715296800000,3254563767.0,12807294.24462306,0.9216,0.4796,0.5204,1.5417,0.6066,0.3934,0.9361,0.4835,0.5165,,,,,,,
34,1715297100000,3259835150.0,12784812.671488,0.9117,0.4769,0.5231,1.5462,0.6073,0.3927,0.926,0.4808,0.5192,,,,,,,
35,1715297400000,3272833890.0,12912475.1879115,0.8961,0.4726,0.5274,1.544,0.6069,0.3931,0.9685,0.492,0.508,,,,,,,
36,1715297700000,3274065984.0,12771411.10906752,0.9257,0.4807,0.5193,1.5342,0.6054,0.3946,0.9474,0.4865,0.5135,,,,,,,
37,1715298000000,3282860404.0,12813365.27145644,0.9102,0.4765,0.5235,1.5339,0.6054,0.3946,0.932,0.4824,0.5176,,,,,,,
38,1715298300000,3292569788.0,12892913.07305888,0.8925,0.4716,0.5284,1.5301,0.6048,0.3952,0.9242,0.4803,0.5197,,,,,,,
39,1715298600000,3302311161.0,12952655.0667903,0.8815,0.4685,0.5315,1.5268,0.6042,0.3958,0.929,0.4816,0.5184,,,,,,,
40,1715298900000,3313709610.0,13024237.3882401,0.8808,0.4683,0.5317,1.5211,0.6033,0.3967,0.9342,0.483,0.517,,,,,,,
41,1715299200000,3326753554.0,13077069.01034752,0.8772,0.4673,0.5327,1.5134,0.6021,0.3979,0.9312,0.4822,0.5178,,,,,,,
42,1715299500000,3354071018.0,13178145.029722,0.8751,0.4667,0.5333,1.5095,0.6015,0.3985,0.9286,0.4815,0.5185,,,,,,,
43,1715299800000,3379496756.0,13389363.37746664,0.8797,0.468,0.532,1.5011,0.6002,0.3998,0.9264,0.4809,0.5191,,,,,,,
44,1715300100000,3389958129.0,13425929.1699045,0.8737,0.4663,0.5337,1.4971,0.5995,0.4005,0.9391,0.4843,0.5157,,,,,,,
45,1715300400000,3387258030.0,13425735.927708,0.8896,0.4708,0.5292,1.5071,0.6011,0.3989,0.9562,0.4888,0.5112,,,,,,,
46,1715300700000,3359792893.0,13261438.5279603,0.9059,0.4753,0.5247,1.5182,0.6029,0.3971,0.9585,0.4894,0.5106,,,,,,,
47,1715301000000,3354801660.0,13256431.6634568,0.9051,0.4751,0.5249,1.5205,0.6033,0.3967,0.9444,0.4857,0.5143,,,,,,,
48,1715301300000,3358316422.0,13191198.24030224,0.8925,0.4716,0.5284,1.5189,0.603,0.397,0.9489,0.4869,0.5131,,,,,,,
49,1715301600000,3349682726.0,13177417.36629318,0.8997,0.4736,0.5264,1.5243,0.6038,0.3962,0.938,0.484,0.516,,,,,,,
50,1715301900000,3351528664.0,13146873.9138396,0.8879,0.4703,0.5297,1.5236,0.6037,0.3963,0.9421,0.4851,0.5149,,,,,,,
51,1715302200000,3354338451.0,13145350.49900841,0.8943,0.4721,0.5279,1.5254,0.604,0.396,0.9535,0.4881,0.5119,,,,,,,
52,1715302500000,3348094075.0,13123122.5744885,0.9001,0.4737,0.5263,1.5257,0.6041,0.3959,0.9596,0.4897,0.5103,,,,,,,
53,1715302800000,3350173998.0,13173018.16709592,0.9004,0.4738,0.5262,1.5229,0.6036,0.3964,0.9562,0.4888,0.5112,,,,,,,
54,1715303100000,3349450638.0,13112429.3576424,0.9037,0.4747,0.5253,1.5231,0.6037,0.3963,0.9616,0.4902,0.5098,,,,,,,
55,1715303400000,3354611276.0,13133135.4149762,0.9084,0.476,0.524,1.5214,0.6034,0.3966,0.979,0.4947,0.5053,,,,,,,
56,1715303700000,3331602243.0,12978056.64147192,0.9301,0.4819,0.5181,1.5114,0.6018,0.3982,0.9685,0.492,0.508,,,,,,,
57,1715304000000,3319845066.0,12928439.44207314,0.9249,0.4805,0.5195,1.5213,0.6034,0.3966,0.9897,0.4974,0.5026,,,,,,,
58,1715304300000,3326490224.0,12859512.64303696,0.9387,0.4842,0.5158,1.5148,0.6024,0.3976,0.994,0.4985,0.5015,,,,,,,
59,1715304600000,3326194408.0,12865986.06569664,0.9399,0.4845,0.5155,1.5149,0.6024,0.3976,0.9952,0.4988,0.5012,,,,,,,
60,1715304900000,3319093330.0,12850500.4548277,0.9346,0.4831,0.5169,1.5182,0.6029,0.3971,1.0064,0.5016,0.4984,,,,,,,
61,1715305200000,3323145593.0,12837411.12012679,0.9478,0.4866,0.5134,1.5166,0.6026,0.3974,1.0044,0.5011,0.4989,,,,,,,
62,1715305500000,3316306403.0,12847337.84215797,0.9482,0.4867,0.5133,1.5208,0.6033,0.3967,1.0109,0.5027,0.4973,,,,,,,
63,1715305800000,3312384405.0,12818066.4274047,0.9493,0.487,0.513,1.5199,0.6032,0.3968,1.0101,0.5025,0.4975,,,,,,,
64,1715306100000,3313267733.0,12826222.64995761,0.9841,0.496,0.504,1.5348,0.6055,0.3945,1.0101,0.5025,0.4975,,,,,,,
65,1715306400000,3310888434.0,12849127.59685758,0.9414,0.4849,0.5151,1.5351,0.6055,0.3945,1.0113,0.5028,0.4972,,,,,,,
66,1715306700000,3305407800.0,12826634.9679,0.9391,0.4843,0.5157,1.5371,0.6058,0.3942,1.0133,0.5033,0.4967,,,,,,,
67,1715307000000,3301253048.0,12836097.163886,0.935,0.4832,0.5168,1.5406,0.6064,0.3936,1.0194,0.5048,0.4952,,,,,,,
68,1715307300000,3302071869.0,12876825.50178978,0.9399,0.4845,0.5155,1.5391,0.6062,0.3938,1.0182,0.5045,0.4955,,,,,,,
69,1715307600000,3304825520.0,12945827.76822,0.9395,0.4844,0.5156,1.5341,0.6054,0.3946,1.0235,0.5058,0.4942,,,,,,,
70,1715307900000,3304257690.0,12975786.9060531,0.9845,0.4961,0.5039,1.536,0.6057,0.3943,1.0263,0.5065,0.4935,,,,,,,
71,1715308200000,3300867344.0,12961515.7996848,0.9861,0.4965,0.5035,1.5389,0.6061,0.3939,1.0125,0.5031,0.4969,,,,,,,
72,1715308500000,3304774417.0,13015787.94586616,0.9822,0.4955,0.5045,1.5383,0.606,0.394,1.0247,0.5061,0.4939,,,,,,,
73,1715308800000,3308229802.0,13036410.3577612,0.994,0.4985,0.5015,1.5352,0.6055,0.3945,1.0186,0.5046,0.4954,,,,,,,
74,1715309100000,3310109270.0,13035309.6085381,0.998,0.4995,0.5005,1.5369,0.6058,0.3942,1.0247,0.5061,0.4939,,,,,,,
75,1715309400000,3315360627.0,13081948.88365422,0.994,0.4985,0.5015,1.5339,0.6053,0.3947,1.0358,0.5088,0.4912,,,,,,,
76,1715309700000,3298707826.0,12897287.8580948,1.0048,0.5012,0.4988,1.5316,0.605,0.395,1.0362,0.5089,0.4911,,,,,,,
77,1715310000000,3300236674.0,12941680.10289056,0.9968,0.4992,0.5008,1.5308,0.6049,0.3951,1.0292,0.5072,0.4928,,,,,,,
78,1715310300000,3299356634.0,12893786.74497298,1.0028,0.5007,0.4993,1.5301,0.6048,0.3952,1.0227,0.5056,0.4944,,,,,,,
79,1715310600000,3298295791.0,13012007.77620037,0.9893,0.4973,0.5027,1.525,0.604,0.396,1.0149,0.5037,0.4963,,,,,,,
80,1715310900000,3300905230.0,12962654.83821,0.9794,0.4948,0.5052,1.5261,0.6041,0.3959,1.0272,0.5067,0.4933,,,,,,,
81,1715311200000,3306732376.0,12925355.5113088,0.9936,0.4984,0.5016,1.5254,0.604,0.396,1.0555,0.5135,0.4865,,,,,,,
82,1715311500000,3324568999.0,12866082.02613,1.0157,0.5039,0.4961,1.5276,0.6044,0.3956,1.0462,0.5113,0.4887,,,,,,,
83,1715311800000,3323208881.0,12946224.8377117,0.9952,0.4988,0.5012,1.5267,0.6042,0.3958,1.0585,0.5142,0.4858,,,,,,,
84,1715312100000,3326822461.0,12848387.95372966,1.0133,0.5033,0.4967,1.5236,0.6037,0.3963,1.061,0.5148,0.4852,,,,,,,
85,1715312400000,3324287662.0,12851795.82992186,1.0178,0.5044,0.4956,1.5223,0.6035,0.3965,1.0525,0.5128,0.4872,,,,,,,
86,1715312700000,3322878086.0,12859571.42160086,1.0036,0.5009,0.4991,1.5172,0.6027,0.3973,1.0551,0.5134,0.4866,,,,,,,
87,1715313000000,3320481043.0,12912022.5838098,1.0096,0.5024,0.4976,1.5171,0.6027,0.3973,1.0525,0.5128,0.4872,,,,,,,
88,1715313300000,3319490775.0,12885267.3413175,1.0096,0.5024,0.4976,1.517,0.6027,0.3973,1.0623,0.5151,0.4849,,,,,,,
89,1715313600000,3319662586.0,12877933.87324394,1.0186,0.5046,0.4954,1.5187,0.603,0.397,1.0563,0.5137,0.4863,,,,,,,
90,1715313900000,3312168412.0,12897650.03969624,1.0076,0.5019,0.4981,1.5228,0.6036,0.3964,1.0521,0.5127,0.4873,,,,,,,
91,1715314200000,3307578771.0,12909678.39793926,0.9964,0.4991,0.5009,1.5261,0.6041,0.3959,1.0509,0.5124,0.4876,,,,,,,
92,1715314500000,3325954355.0,12966233.0529675,1.0028,0.5007,0.4993,1.5201,0.6032,0.3968,1.0504,0.5123,0.4877,,,,,,,
93,1715314800000,3326574852.0,12954081.66267024,1.002,0.5005,0.4995,1.5198,0.6031,0.3969,1.0597,0.5145,0.4855,,,,,,,
94,1715315100000,3327986498.0,12918810.94699126,1.0178,0.5044,0.4956,1.5231,0.6037,0.3963,1.0568,0.5138,0.4862,,,,,,,
95,1715315400000,3324607887.0,12923482.27050414,1.0109,0.5027,0.4973,1.5224,0.6036,0.3964,1.0517,0.5126,0.4874,,,,,,,
96,1715315700000,3323120380.0,12830966.5616256,1.008,0.502,0.498,1.5286,0.6045,0.3955,1.0454,0.5111,0.4889,,,,,,,
97,1715316000000,3328278829.0,12883867.19542387,1.0036,0.5009,0.4991,1.5264,0.6042,0.3958,1.0442,0.5108,0.4892,,,,,,,
98,1715316300000,3329518210.0,12919929.0524482,1.0,0.5,0.5,1.5264,0.6042,0.3958,1.0375,0.5092,0.4908,,,,,,,
99,1715316600000,3324841600.0,12922661.84672,1.002,0.5005,0.4995,1.5264,0.6042,0.3958,1.0404,0.5099,0.4901,,,,,,,
100,1715316900000,3325391129.0,12904014.00652805,1.0044,0.5011,0.4989,1.5276,0.6044,0.3956,1.0458,0.5112,0.4888,,,,,,,
101,1715317200000,3325842233.0,12873670.1154964,1.0076,0.5019,0.4981,1.5287,0.6045,0.3955,1.045,0.511,0.489,,,,,,,
102,1715317500000,3328465211.0,12861588.99112932,1.0137,0.5034,0.4966,1.5287,0.6045,0.3955,1.0321,0.5079,0.4921,,,,,,,
103,1715317800000,3316815651.0,12879526.8543981,1.0012,0.5003,0.4997,1.5375,0.6059,0.3941,1.035,0.5086,0.4914,,,,,,,
104,1715318100000,3312696463.0,12814834.9974692,1.0036,0.5009,0.4991,1.5387,0.6061,0.3939,1.0367,0.509,0.491,,,,,,,
105,1715318400000,3318999408.0,12842569.49930928,1.0048,0.5012,0.4988,1.5384,0.606,0.394,1.0379,0.5093,0.4907,,,,,,,
106,1715318700000,3320539712.0,12871341.67483136,1.0056,0.5014,0.4986,1.5376,0.6059,0.3941,1.0346,0.5085,0.4915,,,,,,,
107,1715319000000,3317668538.0,12888146.9695686,0.9972,0.4993,0.5007,1.5391,0.6062,0.3938,1.0354,0.5087,0.4913,,,,,,,
108,1715319300000,3317356057.0,12911746.89793426,0.9984,0.4996,0.5004,1.5396,0.6062,0.3938,1.0169,0.5042,0.4958,,,,,,,
109,1715319600000,3317320557.0,13012919.69535504,0.9893,0.4973,0.5027,1.5419,0.6066,0.3934,1.0056,0.5014,0.4986,,,,,,,
110,1715319900000,3316779807.0,13011694.01506293,0.9861,0.4965,0.5035,1.5415,0.6065,0.3935,0.9976,0.4994,0.5006,,,,,,,
111,1715320200000,3315826582.0,12995221.7488453,0.9736,0.4933,0.5067,1.5451,0.6071,0.3929,1.0056,0.5014,0.4986,,,,,,,
112,1715320500000,3320643950.0,13067198.833403,0.972,0.4929,0.5071,1.5451,0.6071,0.3929,1.0008,0.5002,0.4998,,,,,,,
113,1715320800000,3323606526.0,13037478.08347494,0.9732,0.4932,0.5068,1.5476,0.6075,0.3925,1.0178,0.5044,0.4956,,,,,,,
114,1715321100000,3323616286.0,13009066.21352118,0.9814,0.4953,0.5047,1.5469,0.6074,0.3926,1.0101,0.5025,0.4975,,,,,,,
115,1715321400000,3320064699.0,13019965.7235984,0.9782,0.4945,0.5055,1.5522,0.6082,0.3918,1.006,0.5015,0.4985,,,,,,,
116,1715321700000,3331884406.0,13160943.4037,0.9732,0.4932,0.5068,1.5502,0.6079,0.3921,1.0105,0.5026,0.4974,,,,,,,
117,1715322000000,3326554339.0,13027086.18141451,0.9829,0.4957,0.5043,1.5524,0.6082,0.3918,1.0182,0.5045,0.4955,,,,,,,
118,1715322300000,3328110269.0,12958529.82999454,0.9889,0.4972,0.5028,1.5545,0.6085,0.3915,1.0178,0.5044,0.4956,,,,,,,
119,1715322600000,3317717792.0,12935416.72205088,0.9908,0.4977,0.5023,1.5562,0.6088,0.3912,1.0222,0.5055,0.4945,,,,,,,
120,1715322900000,3323946756.0,12884747.76815304,0.9988,0.4997,0.5003,1.5601,0.6094,0.3906,1.0149,0.5037,0.4963,,,,,,,
121,1715323200000,3316435140.0,12887832.775797,0.9885,0.4971,0.5029,1.5619,0.6097,0.3903,1.0198,0.5049,0.4951,,,,,,,
122,1715323500000,3311449147.0,12867297.9504979,0.9904,0.4976,0.5024,1.5641,0.61,0.39,1.0173,0.5043,0.4957,,,,,,,
123,1715323800000,3302541345.0,12860294.1499107,0.9968,0.4992,0.5008,1.5659,0.6103,0.3897,1.0218,0.5054,0.4946,,,,,,,
124,1715324100000,3299741226.0,12795868.51583184,1.0012,0.5003,0.4997,1.5686,0.6107,0.3893,1.0243,0.506,0.494,,,,,,,
125,1715324400000,3300278572.0,12803760.7479312,0.9964,0.4991,0.5009,1.5689,0.6107,0.3893,1.0251,0.5062,0.4938,,,,,,,
126,1715324700000,3301836187.0,12796794.43650842,0.9984,0.4996,0.5004,1.5692,0.6108,0.3892,1.0292,0.5072,0.4928,,,,,,,
127,1715325000000,3304489591.0,12871449.58548774,1.0016,0.5004,0.4996,1.5709,0.611,0.389,1.03,0.5074,0.4926,,,,,,,
128,1715325300000,3299871776.0,12932989.45937024,1.0198,0.5049,0.4951,1.5734,0.6114,0.3886,1.0272,0.5067,0.4933,,,,,,,
129,1715325600000,3298064456.0,12936163.1189916,1.0113,0.5028,0.4972,1.5748,0.6116,0.3884,1.0202,0.505,0.495,,,,,,,
130,1715325900000,3300562418.0,12953750.32754878,1.0129,0.5032,0.4968,1.5758,0.6118,0.3882,1.0222,0.5055,0.4945,,,,,,,
131,1715326200000,3306084735.0,12906954.80544,1.0194,0.5048,0.4952,1.573,0.6113,0.3887,1.0313,0.5077,0.4923,,,,,,,
132,1715326500000,3307198628.0,12940274.50369328,1.0165,0.5041,0.4959,1.5742,0.6115,0.3885,1.0231,0.5057,0.4943,,,,,,,
133,1715326800000,3314793030.0,13041058.738626,1.0149,0.5037,0.4963,1.5746,0.6116,0.3884,1.0028,0.5007,0.4993,,,,,,,
134,1715327100000,3314297023.0,13108376.1556673,0.9956,0.4989,0.5011,1.5751,0.6117,0.3883,0.9881,0.497,0.503,,,,,,,
135,1715327400000,3306001749.0,13057020.84765801,0.9904,0.4976,0.5024,1.5797,0.6124,0.3876,0.9932,0.4983,0.5017,,,,,,,
136,1715327700000,3304258049.0,12994325.2034974,0.9984,0.4996,0.5004,1.5819,0.6127,0.3873,0.9924,0.4981,0.5019,,,,,,,
137,1715328000000,3306326211.0,13022693.17378992,0.9893,0.4973,0.5027,1.5764,0.6119,0.3881,0.9829,0.4957,0.5043,,,,,,,
138,1715328300000,3301340153.0,13090804.1086909,0.9814,0.4953,0.5047,1.5791,0.6123,0.3877,0.992,0.498,0.502,,,,,,,
139,1715328600000,3301194567.0,13000104.204846,0.992,0.498,0.502,1.5838,0.613,0.387,1.0024,0.5006,0.4994,,,,,,,
140,1715328900000,3290327298.0,12907592.05405122,0.981,0.4952,0.5048,1.5835,0.6129,0.3871,0.9996,0.4999,0.5001,,,,,,,
141,1715329200000,3292000016.0,13003926.78320256,0.9822,0.4955,0.5045,1.5829,0.6128,0.3872,0.9889,0.4972,0.5028,,,,,,,
142,1715329500000,3295302726.0,13003594.0870686,0.9853,0.4963,0.5037,1.5836,0.6129,0.3871,0.9837,0.4959,0.5041,,,,,,,
143,1715329800000,3303861306.0,13036838.48179764,0.9857,0.4964,0.5036,1.5834,0.6129,0.3871,0.9952,0.4988,0.5012,,,,,,,
144,1715330100000,3311034937.0,13046404.74156236,1.0004,0.5001,0.4999,1.5823,0.6127,0.3873,0.9841,0.496,0.504,,,,,,,
145,1715330400000,3319919625.0,13153421.95666125,0.992,0.498,0.502,1.5815,0.6126,0.3874,0.9885,0.4971,0.5029,,,,,,,
146,1715330700000,3322823600.0,13107542.25492,1.0004,0.5001,0.4999,1.5816,0.6126,0.3874,0.9778,0.4944,0.5056,,,,,,,
147,1715331000000,3324445979.0,13144261.00068978,0.9865,0.4966,0.5034,1.58,0.6124,0.3876,0.9751,0.4937,0.5063,,,,,,,
148,1715331300000,3335275657.0,13222233.40358452,0.9775,0.4943,0.5057,1.5797,0.6124,0.3876,0.9444,0.4857,0.5143,,,,,,,
149,1715331600000,3376145024.0,13541278.79241088,0.9448,0.4858,0.5142,1.5655,0.6102,0.3898,0.9384,0.4841,0.5159,,,,,,,
150,1715331900000,3378104205.0,13499242.2136005,0.9459,0.4861,0.5139,1.5504,0.6079,0.3921,0.9612,0.4901,0.5099,,,,,,,
151,1715332200000,3360412777.0,13276755.65303261,0.944,0.4856,0.5144,1.5519,0.6081,0.3919,0.9399,0.4845,0.5155,,,,,,,
152,1715332500000,3351370136.0,13254467.80567184,0.926,0.4808,0.5192,1.5612,0.6096,0.3904,0.9421,0.4851,0.5149,,,,,,,
153,1715332800000,3351316553.0,13294706.27891653,0.9234,0.4801,0.5199,1.5597,0.6093,0.3907,0.9554,0.4886,0.5114,,,,,,,
154,1715333100000,3359234656.0,13307137.79689216,0.9372,0.4838,0.5162,1.5581,0.6091,0.3909,0.9604,0.4899,0.5101,,,,,,,
155,1715333400000,3354820924.0,13226582.78212544,0.9384,0.4841,0.5159,1.5581,0.6091,0.3909,0.9658,0.4913,0.5087,,,,,,,
156,1715333700000,3351676802.0,13166123.84715244,0.9467,0.4863,0.5137,1.5604,0.6094,0.3906,0.9743,0.4935,0.5065,,,,,,,
157,1715334000000,3336508418.0,13029966.22956286,0.9673,0.4917,0.5083,1.5643,0.61,0.39,0.9681,0.4919,0.5081,,,,,,,
158,1715334300000,3334388074.0,12978438.7004302,0.9619,0.4903,0.5097,1.5688,0.6107,0.3893,0.972,0.4929,0.5071,,,,,,,
159,1715334600000,3333130626.0,13006309.00963338,0.9623,0.4904,0.5096,1.568,0.6106,0.3894,0.972,0.4929,0.5071,,,,,,,
160,1715334900000,3334366770.0,13067116.6222884,0.9704,0.4925,0.5075,1.5665,0.6104,0.3896,0.9794,0.4948,0.5052,,,,,,,
161,1715335200000,3335638373.0,13071699.6561124,0.981,0.4952,0.5048,1.5689,0.6107,0.3893,0.9755,0.4938,0.5062,,,,,,,
162,1715335500000,3339256654.0,13080536.1650488,0.9755,0.4938,0.5062,1.5686,0.6107,0.3893,0.9643,0.4909,0.5091,,,,,,,
163,1715335800000,3346842746.0,13142582.90555756,0.9569,0.489,0.511,1.5667,0.6104,0.3896,0.9712,0.4927,0.5073,,,,,,,
164,1715336100000,3344187834.0,13096775.93053752,0.9697,0.4923,0.5077,1.5737,0.6115,0.3885,0.9767,0.4941,0.5059,,,,,,,
165,1715336400000,3362731928.0,13215771.86827496,0.9739,0.4934,0.5066,1.5816,0.6126,0.3874,0.9767,0.4941,0.5059,,,,,,,
166,1715336700000,3363887996.0,13170967.0595384,0.9794,0.4948,0.5052,1.5834,0.6129,0.3871,0.9778,0.4944,0.5056,,,,,,,
167,1715337000000,3364105355.0,13175653.1870717,0.9833,0.4958,0.5042,1.5837,0.613,0.387,0.9778,0.4944,0.5056,,,,,,,
168,1715337300000,3362009393.0,13220765.7370332,0.9826,0.4956,0.5044,1.5835,0.6129,0.3871,0.9818,0.4954,0.5046,,,,,,,
169,1715337600000,3363492289.0,13202379.9327828,0.9885,0.4971,0.5029,1.5846,0.6131,0.3869,0.9845,0.4961,0.5039,,,,,,,
170,1715337900000,3364393260.0,13283532.9766602,0.9833,0.4958,0.5042,1.5813,0.6126,0.3874,0.9814,0.4953,0.5047,,,,,,,
171,1715338200000,3363591947.0,13304755.21819744,0.9798,0.4949,0.5051,1.5833,0.6129,0.3871,0.9893,0.4973,0.5027,,,,,,,
172,1715338500000,3364884873.0,13292910.39308904,0.9818,0.4954,0.5046,1.5835,0.6129,0.3871,0.9845,0.4961,0.5039,,,,,,,
173,1715338800000,3368355971.0,13322588.90361862,0.9732,0.4932,0.5068,1.5825,0.6128,0.3872,0.9747,0.4936,0.5064,,,,,,,
174,1715339100000,3367004999.0,13284181.5230546,0.9697,0.4923,0.5077,1.5839,0.613,0.387,0.9627,0.4905,0.5095,,,,,,,
175,1715339400000,3379069121.0,13392839.08900987,0.9608,0.49,0.51,1.583,0.6129,0.3871,0.9608,0.49,0.51,,,,,,,
176,1715339700000,3381274270.0,13352685.9049727,0.9608,0.49,0.51,1.5835,0.6129,0.3871,0.9592,0.4896,0.5104,,,,,,,
177,1715340000000,3389953784.0,13381198.47112104,0.9554,0.4886,0.5114,1.5854,0.6132,0.3868,0.9589,0.4895,0.5105,,,,,,,
178,1715340300000,3391084599.0,13353141.64717428,0.9592,0.4896,0.5104,1.5884,0.6137,0.3863,0.9704,0.4925,0.5075,,,,,,,
179,1715340600000,3389230306.0,13265108.4946534,0.9704,0.4925,0.5075,1.589,0.6137,0.3863,0.9444,0.4857,0.5143,,,,,,,
180,1715340900000,3386954383.0,13219045.87004219,0.9592,0.4896,0.5104,1.5891,0.6138,0.3862,0.9399,0.4845,0.5155,,,,,,,
181,1715341200000,3384511556.0,13242747.590739,0.9573,0.4891,0.5109,1.5889,0.6137,0.3863,0.9429,0.4853,0.5147,,,,,,,
182,1715341500000,3385254005.0,13219653.85730535,0.9708,0.4926,0.5074,1.5891,0.6138,0.3862,0.944,0.4856,0.5144,,,,,,,
183,1715341800000,3381652490.0,13224290.227394,0.9697,0.4923,0.5077,1.5892,0.6138,0.3862,0.9387,0.4842,0.5158,,,,,,,
184,1715342100000,3391286875.0,13259965.59411875,0.9658,0.4913,0.5087,1.5877,0.6136,0.3864,0.9357,0.4834,0.5166,,,,,,,
185,1715342400000,3390470084.0,13267248.4857004,0.9604,0.4899,0.5101,1.5866,0.6134,0.3866,0.9387,0.4842,0.5158,,,,,,,
186,1715342700000,3394972743.0,13295629.90422861,0.9596,0.4897,0.5103,1.5905,0.614,0.386,0.9448,0.4858,0.5142,,,,,,,
